category,count,percentage
Delivery_Praise,9445,0.23
Delivery_Issue,6552,0.16
Unclassifiable,3856,0.09
Product Quality_Praise,2956,0.07
Product_Praise,2332,0.06
Product Mismatch_Issue,1675,0.04
Product Quality_Issue,1090,0.03
Product Satisfaction_Praise,606,0.01
Service_Praise,604,0.01
Quality_Praise,572,0.01
Customer Service_Praise,551,0.01
Customer Service_Issue,450,0.01
Product Damage_Issue,293,0.01
Order_Issue,290,0.01
Product Defect_Issue,289,0.01
Praise,276,0.01
Packaging_Issue,275,0.01
Product_Issue,274,0.01
Order Fulfillment_Issue,230,0.01
Product Recommendation_Praise,214,0.01
Product Condition_Issue,187,0.0
Satisfaction_Praise,181,0.0
Store_Praise,178,0.0
Product Size_Issue,174,0.0
Quality_Issue,168,0.0
Recommendation_Praise,156,0.0
Performance_Praise,138,0.0
Product Performance_Praise,137,0.0
Shipping Cost_Issue,121,0.0
Order Cancellation_Issue,121,0.0
Shipping_Issue,115,0.0
Overall Satisfaction_Praise,107,0.0
Product Authenticity_Issue,106,0.0
Refund_Issue,104,0.0
Seller_Praise,103,0.0
Order Incomplete_Issue,103,0.0
Packaging_Praise,97,0.0
Product Performance_Issue,96,0.0
Product Missing_Issue,89,0.0
Shopping Experience_Praise,85,0.0
Invoice_Issue,84,0.0
Store Recommendation_Praise,81,0.0
Customer Loyalty_Praise,80,0.0
Delivery_Praise_Product Quality_Praise,77,0.0
Delivery_Others,76,0.0
Purchase_Praise,75,0.0
Value_Praise,73,0.0
Product_Praise_Delivery_Praise,69,0.0
Stock_Issue,65,0.0
Product Condition_Praise,64,0.0
Purchase Experience_Praise,62,0.0
Product Quality_Praise_Delivery_Praise,62,0.0
Product Accuracy_Praise,59,0.0
Product Malfunction_Issue,59,0.0
Service_Issue,57,0.0
Product Expectation_Issue,55,0.0
Customer Satisfaction_Praise,54,0.0
Product Compatibility_Issue,52,0.0
Communication_Issue,52,0.0
Product Description_Issue,52,0.0
Product Incomplete_Issue,52,0.0
Product Functionality_Issue,48,0.0
Customer Experience_Praise,45,0.0
Return_Issue,45,0.0
Product Color_Issue,45,0.0
Product Fit_Issue,44,0.0
Product Quality_Others,42,0.0
Product Design_Issue,42,0.0
Overall Experience_Praise,38,0.0
Product Match_Praise,38,0.0
Performance_Issue,37,0.0
Pricing_Issue,36,0.0
Product Delivery_Praise,35,0.0
Product Availability_Issue,35,0.0
Product_Mismatch_Issue,35,0.0
Product Information_Issue,35,0.0
Trust_Praise,35,0.0
Size_Issue,34,0.0
Product Specification_Issue,34,0.0
Material_Issue,33,0.0
Delivery_Praise_Product_Praise,33,0.0
Others,33,0.0
Assembly_Issue,32,0.0
Order Mismatch_Issue,32,0.0
Cancellation_Issue,30,0.0
Product Value_Praise,30,0.0
Purchase Satisfaction_Praise,29,0.0
Product_Quality_Issue,28,0.0
Price_Praise,27,0.0
Availability_Issue,26,0.0
Delivery_Delay_Issue,25,0.0
Exchange_Issue,25,0.0
Shipping_Cost_Issue,24,0.0
Delivery_Time_Issue,24,0.0
Tracking_Issue,24,0.0
Overall_Praise,24,0.0
Order Processing_Issue,23,0.0
Service Quality_Praise,22,0.0
Payment_Issue,22,0.0
Product Exchange_Issue,22,0.0
Functionality_Issue,20,0.0
Order Inaccuracy_Issue,19,0.0
Missing Item_Issue,18,0.0
Store Experience_Praise,18,0.0
Trustworthiness_Praise,17,0.0
Store Quality_Praise,17,0.0
Product Expectation_Praise,17,0.0
Product Appearance_Praise,16,0.0
Seller Recommendation_Praise,16,0.0
Order_Issue_Issue,16,0.0
Store Reliability_Praise,16,0.0
Product_Quality_Praise,15,0.0
Product Fit_Praise,14,0.0
Material Quality_Issue,14,0.0
Value for Money_Praise,14,0.0
Product Description_Praise,14,0.0
Cost-Benefit_Praise,14,0.0
Pricing_Praise,14,0.0
Transaction_Praise,14,0.0
Order_Incomplete_Issue,13,0.0
Color Mismatch_Issue,13,0.0
Shipping_Praise,13,0.0
Product_Issue_Issue,13,0.0
Compatibility_Issue,13,0.0
Product Counterfeit_Issue,13,0.0
Installation_Issue,12,0.0
Missing Parts_Issue,12,0.0
Delivery Delay_Issue,12,0.0
Product Description_Others,12,0.0
Product Incompleteness_Issue,12,0.0
Recommendation_Others,12,0.0
Product Size_Others,12,0.0
Shipping Fee_Issue,12,0.0
Product Color Mismatch_Issue,11,0.0
Delivery Time_Issue,11,0.0
Product Misrepresentation_Issue,11,0.0
Order Error_Issue,11,0.0
Product Design_Praise,11,0.0
Website_Praise,11,0.0
Delivery_Issue_Issue,10,0.0
Billing_Issue,10,0.0
Seller Service_Praise,10,0.0
Order Status_Issue,10,0.0
Purchase Process_Praise,10,0.0
Delivery_Issue_Customer Service_Issue,10,0.0
Company Reputation_Praise,10,0.0
Store_Issue,10,0.0
Loyalty_Praise,10,0.0
Reliability_Praise,10,0.0
Supplier_Praise,10,0.0
Efficiency_Praise,10,0.0
Product Delivery_Issue,10,0.0
Website_Issue,10,0.0
Incomplete Order_Issue,9,0.0
Product Function_Issue,9,0.0
Product Completeness_Issue,9,0.0
Order Cancellation_Others,9,0.0
Usability_Praise,9,0.0
Product Durability_Issue,9,0.0
Shipping Delay_Issue,9,0.0
Delivery_Praise_Quality_Praise,9,0.0
Store Reputation_Praise,9,0.0
Order Fulfillment_Praise,9,0.0
Quality_Others,9,0.0
Fit_Issue,8,0.0
Color_Issue,8,0.0
Product Mismatch_Others,8,0.0
Product Recommendation_Others,8,0.0
Product Fragility_Issue,8,0.0
Instruction_Issue,8,0.0
Logistics_Issue,8,0.0
Order_Cancellation_Issue,8,0.0
Usability_Issue,8,0.0
Material_Praise,8,0.0
Purchase_Satisfaction_Praise,8,0.0
Value_Issue,7,0.0
Documentation_Issue,7,0.0
Fulfillment_Praise,7,0.0
Order Accuracy_Praise,7,0.0
Product Feature_Issue,7,0.0
Trust_Issue,7,0.0
Product Voltage_Issue,7,0.0
General_Praise,7,0.0
Incomplete Delivery_Issue,7,0.0
Product Error_Issue,7,0.0
Gift_Praise,7,0.0
Expectation_Met_Praise,7,0.0
Expectation Met_Praise,7,0.0
Purchase_Issue,7,0.0
Company_Praise,7,0.0
Product Functionality_Praise,7,0.0
Price_Issue,7,0.0
Product Quantity_Issue,7,0.0
Pricing_Others,7,0.0
Comfort_Praise,7,0.0
Customer Trust_Praise,6,0.0
Product Assembly_Issue,6,0.0
Product Satisfaction_Issue,6,0.0
Return Process_Issue,6,0.0
Misleading Advertising_Issue,6,0.0
Product Effectiveness_Issue,6,0.0
Service_Praise_Delivery_Praise,6,0.0
Product Expectation_Others,6,0.0
Information_Issue,6,0.0
Product Safety_Issue,6,0.0
Product Aesthetic_Praise,6,0.0
Order_Fulfillment_Issue,6,0.0
Exchange_Request,6,0.0
Material Quality_Praise,6,0.0
Product Value_Issue,6,0.0
Delivery Inquiry_Others,6,0.0
Brand Loyalty_Praise,6,0.0
Order Process_Praise,6,0.0
Product Comfort_Issue,6,0.0
Order Mix-Up_Issue,6,0.0
Durability_Issue,6,0.0
Product Efficiency_Praise,6,0.0
Product Manual_Issue,6,0.0
Logistics_Praise,6,0.0
Packaging_Others,6,0.0
Product_Condition_Issue,6,0.0
Product Effectiveness_Praise,6,0.0
Store Rating_Praise,6,0.0
Site_Praise,6,0.0
Product Expiration_Issue,6,0.0
Order Quantity_Issue,6,0.0
Product_Defect_Issue,6,0.0
Agreement_Praise,5,0.0
Product Usability_Issue,5,0.0
Advertising_Issue,5,0.0
Order Discrepancy_Issue,5,0.0
Fit_Praise,5,0.0
Customer Service_Others,5,0.0
Pickup_Issue,5,0.0
Stock Availability_Issue,5,0.0
Service Efficiency_Praise,5,0.0
Safety_Issue,5,0.0
Product Improvement_Others,5,0.0
Product Information_Others,5,0.0
Product Inquiry_Others,5,0.0
Quantity_Issue,5,0.0
Quality_Praise_Delivery_Praise,5,0.0
Counterfeit_Issue,5,0.0
Condition_Praise,5,0.0
Product Condition_Others,5,0.0
Delivery_Concern,5,0.0
Store Recommendation_Issue,5,0.0
Product Feature_Praise,5,0.0
Delivery_Inquiry,5,0.0
Supplier_Issue,5,0.0
Product_Fit_Issue,5,0.0
Instructions_Issue,5,0.0
Comfort_Issue,5,0.0
Order Incompleteness_Issue,5,0.0
Overall_Satisfaction_Praise,5,0.0
Product Packaging_Issue,4,0.0
Product Dissatisfaction_Issue,4,0.0
Order Missing_Issue,4,0.0
Product Improvement_Suggestion,4,0.0
Order Tracking_Issue,4,0.0
Missing Accessories_Issue,4,0.0
Manual_Issue,4,0.0
Order Management_Issue,4,0.0
Product Missing Part_Issue,4,0.0
Product Performance_Others,4,0.0
Product Failure_Issue,4,0.0
Product_Functionality_Issue,4,0.0
Battery_Issue,4,0.0
Communication_Praise,4,0.0
Delivery_Slow_Issue,4,0.0
Product Aesthetics_Praise,4,0.0
Product Comfort_Praise,4,0.0
Product Utility_Praise,4,0.0
Delivery_Request,4,0.0
Shopping_Praise,4,0.0
Security_Praise,4,0.0
Delivery_Praise_Product Quality_Issue,4,0.0
Product and Service_Praise,4,0.0
Delivery_Incomplete_Issue,4,0.0
Product_Damage_Issue,4,0.0
Delivery_Mismatch_Issue,4,0.0
Shipping Policy_Issue,4,0.0
Seller Performance_Praise,4,0.0
Product_Match_Praise,4,0.0
Partnership_Praise,4,0.0
Product Design_Others,4,0.0
Order_Status_Issue,4,0.0
Product Suggestion_Others,4,0.0
Store_Reliability_Praise,4,0.0
Product Authenticity_Praise,4,0.0
Product Size_Praise,4,0.0
Website Experience_Praise,4,0.0
Postal Service_Issue,4,0.0
Delivery Information_Issue,4,0.0
Warranty_Issue,4,0.0
Store Recommendation_Others,4,0.0
Design_Praise,4,0.0
Color_Mismatch_Issue,4,0.0
Support_Issue,4,0.0
Price and Quality_Praise,3,0.0
Refund_Request,3,0.0
Defective Product_Issue,3,0.0
Repeat Purchase_Praise,3,0.0
User Manual_Issue,3,0.0
Refund_Praise,3,0.0
Seller Reputation_Praise,3,0.0
Missing Items_Issue,3,0.0
Customer Recommendation_Praise,3,0.0
Customer Loyalty_Issue,3,0.0
Customer Experience_Issue,3,0.0
Product Expiry_Issue,3,0.0
Product Improvement_Issue,3,0.0
Condition_Issue,3,0.0
Order Non-Delivery_Issue,3,0.0
Missing Part_Issue,3,0.0
Company Reliability_Praise,3,0.0
Process_Praise,3,0.0
Product Accuracy_Issue,3,0.0
Store Efficiency_Praise,3,0.0
Store Satisfaction_Praise,3,0.0
Product Expectations_Issue,3,0.0
Suggestion_Others,3,0.0
Delivery Method_Issue,3,0.0
Delivery Speed_Praise,3,0.0
Manual Language_Issue,3,0.0
Product Wrong Delivery_Issue,3,0.0
Product Usefulness_Praise,3,0.0
Product Preference_Others,3,0.0
Product Use_Praise,3,0.0
Product Protection_Issue,3,0.0
Delivery_Suggestion,3,0.0
Order_Praise,3,0.0
Product Tampering_Issue,3,0.0
Product Suitability_Issue,3,0.0
Functionality_Praise,3,0.0
Product Stability_Issue,3,0.0
Early Delivery_Praise,3,0.0
Ease of Use_Praise,3,0.0
Product Satisfaction_Praise_Delivery_Praise,3,0.0
Product Satisfaction_Others,3,0.0
Expectation_Praise,3,0.0
Product Value_Others,3,0.0
Delivery_Praise_Product Condition_Praise,3,0.0
Quality Control_Issue,3,0.0
Product_Authenticity_Issue,3,0.0
Product Recommendation_Issue,3,0.0
Delivery Status_Issue,3,0.0
Punctuality_Praise,3,0.0
Aesthetic_Praise,3,0.0
Product_Quantity_Issue,3,0.0
Order Confirmation_Praise,3,0.0
Delivery_Delay,3,0.0
Delivery_Early_Praise,3,0.0
Product_Missing_Issue,3,0.0
Product Appearance_Issue,3,0.0
Delivery_Issue_Product Damage_Issue,3,0.0
Inventory_Issue,3,0.0
Partnership_Issue,3,0.0
Product Missing Parts_Issue,3,0.0
Partial Delivery_Issue,3,0.0
