category,count,percentage
Delivery_Issue,6552,0.42
Product Mismatch_Issue,1675,0.11
Product Quality_Issue,1090,0.07
Customer Service_Issue,450,0.03
Product Damage_Issue,293,0.02
Order_Issue,290,0.02
Product Defect_Issue,289,0.02
Packaging_Issue,275,0.02
Product_Issue,274,0.02
Order Fulfillment_Issue,230,0.01
Product Condition_Issue,187,0.01
Product Size_Issue,174,0.01
Quality_Issue,168,0.01
Order Cancellation_Issue,121,0.01
Shipping Cost_Issue,121,0.01
Shipping_Issue,115,0.01
Product Authenticity_Issue,106,0.01
Refund_Issue,104,0.01
Order Incomplete_Issue,103,0.01
Product Performance_Issue,96,0.01
Product Missing_Issue,89,0.01
Invoice_Issue,84,0.01
Stock_Issue,65,0.0
Product Malfunction_Issue,59,0.0
Service_Issue,57,0.0
Product Expectation_Issue,55,0.0
Product Compatibility_Issue,52,0.0
Product Incomplete_Issue,52,0.0
Product Description_Issue,52,0.0
Communication_Issue,52,0.0
Product Functionality_Issue,48,0.0
Product Color_Issue,45,0.0
Return_Issue,45,0.0
Product Fit_Issue,44,0.0
Product Design_Issue,42,0.0
Performance_Issue,37,0.0
Pricing_Issue,36,0.0
Product Availability_Issue,35,0.0
Product_Mismatch_Issue,35,0.0
Product Information_Issue,35,0.0
Size_Issue,34,0.0
Product Specification_Issue,34,0.0
Material_Issue,33,0.0
Assembly_Issue,32,0.0
Order Mismatch_Issue,32,0.0
Cancellation_Issue,30,0.0
Product_Quality_Issue,28,0.0
Availability_Issue,26,0.0
Delivery_Delay_Issue,25,0.0
Exchange_Issue,25,0.0
Shipping_Cost_Issue,24,0.0
Tracking_Issue,24,0.0
Delivery_Time_Issue,24,0.0
Order Processing_Issue,23,0.0
Payment_Issue,22,0.0
Product Exchange_Issue,22,0.0
Functionality_Issue,20,0.0
Order Inaccuracy_Issue,19,0.0
Missing Item_Issue,18,0.0
Order_Issue_Issue,16,0.0
Material Quality_Issue,14,0.0
Color Mismatch_Issue,13,0.0
Compatibility_Issue,13,0.0
Order_Incomplete_Issue,13,0.0
Product Counterfeit_Issue,13,0.0
Product_Issue_Issue,13,0.0
Shipping Fee_Issue,12,0.0
Delivery Delay_Issue,12,0.0
Missing Parts_Issue,12,0.0
Installation_Issue,12,0.0
Product Incompleteness_Issue,12,0.0
Product Misrepresentation_Issue,11,0.0
Product Color Mismatch_Issue,11,0.0
Order Error_Issue,11,0.0
Delivery Time_Issue,11,0.0
Store_Issue,10,0.0
Delivery_Issue_Customer Service_Issue,10,0.0
Delivery_Issue_Issue,10,0.0
Order Status_Issue,10,0.0
Product Delivery_Issue,10,0.0
Website_Issue,10,0.0
Billing_Issue,10,0.0
Incomplete Order_Issue,9,0.0
Shipping Delay_Issue,9,0.0
Product Completeness_Issue,9,0.0
Product Function_Issue,9,0.0
Product Durability_Issue,9,0.0
Color_Issue,8,0.0
Logistics_Issue,8,0.0
Order_Cancellation_Issue,8,0.0
Fit_Issue,8,0.0
Product Fragility_Issue,8,0.0
Usability_Issue,8,0.0
Instruction_Issue,8,0.0
Product Feature_Issue,7,0.0
Price_Issue,7,0.0
Product Voltage_Issue,7,0.0
Value_Issue,7,0.0
Product Quantity_Issue,7,0.0
Documentation_Issue,7,0.0
Purchase_Issue,7,0.0
Product Error_Issue,7,0.0
Trust_Issue,7,0.0
Incomplete Delivery_Issue,7,0.0
Product Manual_Issue,6,0.0
Product Safety_Issue,6,0.0
Misleading Advertising_Issue,6,0.0
Product Satisfaction_Issue,6,0.0
Durability_Issue,6,0.0
Order Mix-Up_Issue,6,0.0
Product_Defect_Issue,6,0.0
Return Process_Issue,6,0.0
Product Effectiveness_Issue,6,0.0
Product Assembly_Issue,6,0.0
Order_Fulfillment_Issue,6,0.0
Product Value_Issue,6,0.0
Information_Issue,6,0.0
Product Comfort_Issue,6,0.0
Product Expiration_Issue,6,0.0
Order Quantity_Issue,6,0.0
Product_Condition_Issue,6,0.0
Supplier_Issue,5,0.0
Order Discrepancy_Issue,5,0.0
Advertising_Issue,5,0.0
Order Incompleteness_Issue,5,0.0
Instructions_Issue,5,0.0
Stock Availability_Issue,5,0.0
Store Recommendation_Issue,5,0.0
Pickup_Issue,5,0.0
Counterfeit_Issue,5,0.0
Safety_Issue,5,0.0
Quantity_Issue,5,0.0
Product Usability_Issue,5,0.0
Comfort_Issue,5,0.0
Product_Fit_Issue,5,0.0
Shipping Policy_Issue,4,0.0
Product Packaging_Issue,4,0.0
Product Failure_Issue,4,0.0
Battery_Issue,4,0.0
Delivery Information_Issue,4,0.0
Delivery_Praise_Product Quality_Issue,4,0.0
Product_Functionality_Issue,4,0.0
Delivery_Slow_Issue,4,0.0
Order Tracking_Issue,4,0.0
Order Management_Issue,4,0.0
Product_Damage_Issue,4,0.0
Product Missing Part_Issue,4,0.0
Delivery_Incomplete_Issue,4,0.0
Missing Accessories_Issue,4,0.0
Delivery_Mismatch_Issue,4,0.0
Color_Mismatch_Issue,4,0.0
Postal Service_Issue,4,0.0
Warranty_Issue,4,0.0
Order Missing_Issue,4,0.0
Support_Issue,4,0.0
Manual_Issue,4,0.0
Order_Status_Issue,4,0.0
Product Dissatisfaction_Issue,4,0.0
Customer Experience_Issue,3,0.0
Customer Loyalty_Issue,3,0.0
Product Accuracy_Issue,3,0.0
Missing Items_Issue,3,0.0
Product_Quantity_Issue,3,0.0
Quality Control_Issue,3,0.0
Defective Product_Issue,3,0.0
Missing Part_Issue,3,0.0
Condition_Issue,3,0.0
Product Appearance_Issue,3,0.0
Partnership_Issue,3,0.0
Product Expectations_Issue,3,0.0
Product Missing Parts_Issue,3,0.0
Product Protection_Issue,3,0.0
Manual Language_Issue,3,0.0
Product Expiry_Issue,3,0.0
Partial Delivery_Issue,3,0.0
Product Recommendation_Issue,3,0.0
Product Material_Issue,3,0.0
Product Stability_Issue,3,0.0
Product Suitability_Issue,3,0.0
Delivery_Issue_Product Damage_Issue,3,0.0
Product Tampering_Issue,3,0.0
Order Non-Delivery_Issue,3,0.0
Product Wrong Delivery_Issue,3,0.0
Product_Authenticity_Issue,3,0.0
Delivery Status_Issue,3,0.0
Product Improvement_Issue,3,0.0
Inventory_Issue,3,0.0
User Manual_Issue,3,0.0
Product_Missing_Issue,3,0.0
Delivery Method_Issue,3,0.0
Product Coverage_Issue,2,0.0
Product Capacity_Issue,2,0.0
Product Comparison_Issue,2,0.0
Product Configuration_Issue,2,0.0
Access_Issue,2,0.0
Product Disappointment_Issue,2,0.0
Return Policy_Issue,2,0.0
Product_Durability_Issue,2,0.0
Product_Fake_Issue,2,0.0
Product_Incomplete_Issue,2,0.0
Product_Size_Issue,2,0.0
Product_Taste_Issue,2,0.0
Professionalism_Issue,2,0.0
Punctuality_Issue,2,0.0
Purchase Experience_Issue,2,0.0
Recommendation_Issue,2,0.0
Shipping Charge_Issue,2,0.0
Product_Color_Issue,2,0.0
Shipping Information_Issue,2,0.0
Shipping Process_Issue,2,0.0
Shopping Experience_Issue,2,0.0
Size_Issue_Issue,2,0.0
Sound Quality_Issue,2,0.0
Stock_Issue_Issue,2,0.0
Store Organization_Issue,2,0.0
Waiting_Issue,2,0.0
Wrong Product_Issue,2,0.0
Product_Design_Issue,2,0.0
Product_Availability_Issue,2,0.0
Product Dislike_Issue,2,0.0
Product Missing Items_Issue,2,0.0
Product Effect_Issue,2,0.0
Product Finish_Issue,2,0.0
Product Flaw_Issue,2,0.0
Product Inaccuracy_Issue,2,0.0
Product Incorrect_Issue,2,0.0
Product Longevity_Issue,2,0.0
Product Measurement_Issue,2,0.0
Product Misleading_Issue,2,0.0
Product Mismatch_Issue_Customer Service_Issue,2,0.0
Product Missing Piece_Issue,2,0.0
Product_Aesthetics_Issue,2,0.0
Product Not Received_Issue,2,0.0
Product Quality_Praise_Delivery_Issue,2,0.0
Product Recognition_Issue,2,0.0
Product Replacement_Issue,2,0.0
Product Setup_Issue,2,0.0
Product Swap_Issue,2,0.0
Product Trust_Issue,2,0.0
Product Weight_Issue,2,0.0
Product Wrong Item_Issue,2,0.0
Product Presentation_Issue,2,0.0
Product Color_Mismatch_Issue,2,0.0
Delivery Timing_Issue,2,0.0
Order Non-receipt_Issue,2,0.0
Delivery_Issue_Quality_Issue,2,0.0
Order Delay_Issue,2,0.0
Order Confirmation_Issue,2,0.0
Order Completeness_Issue,2,0.0
Authenticity_Issue,2,0.0
Order Accuracy_Issue,2,0.0
Brand_Issue,2,0.0
Defective_Product_Issue,2,0.0
Defect_Issue,2,0.0
Manufacturing_Issue,2,0.0
Manufacturing Defect_Issue,2,0.0
Delivery_Praise_Product Size_Issue,2,0.0
Delivery_Praise_Quality_Issue,2,0.0
Invoice_Issue_Issue,2,0.0
Company_Issue,2,0.0
Counterfeit Product_Issue,2,0.0
Invoice Delay_Issue,2,0.0
Delivery_Service_Issue,2,0.0
Instruction Manual_Issue,2,0.0
Delivery_Timing_Issue,2,0.0
Customer Satisfaction_Issue,2,0.0
Design_Issue,2,0.0
Customer Respect_Issue,2,0.0
Expectation_Issue,2,0.0
Expiration_Issue,2,0.0
Order Mistake_Issue,2,0.0
Notification_Issue,2,0.0
Delivery_Issue_Product Quality_Issue,2,0.0
App_Issue,2,0.0
Delivery Speed_Issue,2,0.0
Packaging_Issue_Delivery_Issue,2,0.0
Delivery_Cost_Issue,2,0.0
Delivery Service_Issue,2,0.0
After-Sales Service_Issue,2,0.0
Order_Confusion_Issue,2,0.0
Order Update_Issue,2,0.0
Credibility_Issue,2,0.0
Order Process_Issue,2,0.0
Delivery Notification_Issue,1,0.0
Receipt_Issue,1,0.0
Purchase_Failure_Issue,1,0.0
Product_Description_Issue,1,0.0
Data Loss_Issue,1,0.0
Damaged_Product_Issue,1,0.0
Delivery Quality_Issue,1,0.0
Delivery Reception_Issue,1,0.0
Quality Standard_Issue,1,0.0
Customer_Service_Issue,1,0.0
Delivery Fee_Issue,1,0.0
Customer Support_Issue,1,0.0
Customer Service_Praise_Delivery_Issue,1,0.0
Purchase_Experience_Issue,1,0.0
Refund Delay_Issue,1,0.0
Product_Completion_Issue,1,0.0
Refund Process_Issue,1,0.0
Delivery Location_Issue,1,0.0
Product_Compatibility_Issue,1,0.0
Remote Control_Issue,1,0.0
Reputation_Issue,1,0.0
Reshipment_Issue,1,0.0
Delivery Mismatch_Issue,1,0.0
Product_Comparison_Issue,1,0.0
Product_Fragility_Issue,1,0.0
Delivery Process_Issue,1,0.0
Product_Dislike_Issue,1,0.0
Product_Misleading_Issue,1,0.0
Product_Issue_Customer Service_Issue,1,0.0
Delivery Criteria_Issue,1,0.0
Product_Feature_Issue,1,0.0
Delivery Cost_Issue,1,0.0
Delivery Option_Issue,1,0.0
Product_Failure_Issue,1,0.0
Customer Communication_Issue,1,0.0
Product_Praise_Delivery_Issue,1,0.0
Product_Praise_Product Defect_Issue,1,0.0
Product_Expiration_Issue,1,0.0
Delivery Communication_Issue,1,0.0
Delivery Capability_Issue,1,0.0
Product_Issue_Issue_Customer Service_Issue,1,0.0
Product_Specification_Issue,1,0.0
Delivery Date_Issue,1,0.0
Product_Usefulness_Issue,1,0.0
Product_Wrong_Issue,1,0.0
Deceptive Advertising_Issue,1,0.0
Product_Expectation_Issue,1,0.0
Promotion_Issue,1,0.0
Product_Function_Issue,1,0.0
Purchase Cancellation_Issue,1,0.0
Delivery Policy_Issue,1,0.0
Date Format_Issue,1,0.0
Deadline_Issue,1,0.0
Post-Sale Service_Issue,1,0.0
Return_Issue_Issue,1,0.0
Store Responsibility_Issue,1,0.0
Sustainability_Issue,1,0.0
Approval Delay_Issue,1,0.0
Supplier_Issue_Issue,1,0.0
Assembly Difficulty_Issue,1,0.0
Supplier Management_Issue,1,0.0
Assembly Instructions_Issue,1,0.0
Store Reliability_Issue,1,0.0
Return_Process_Issue,1,0.0
Assembly_Issue_Shipping_Issue,1,0.0
Assembly_Praise_Delivery_Issue,1,0.0
Store Experience_Issue,1,0.0
Assistance_Issue,1,0.0
Audio Performance_Issue,1,0.0
Audio Quality_Issue,1,0.0
System_Issue,1,0.0
Third-Party Reliability_Issue,1,0.0
Application_Issue,1,0.0
Transport_Issue,1,0.0
App Functionality_Issue,1,0.0
Agreement_Issue,1,0.0
Voltage_Issue,1,0.0
Voltage_Mismatch_Issue,1,0.0
Volume_Issue,1,0.0
Aesthetic_Issue,1,0.0
Warranty Assistance_Issue,1,0.0
Advertisement_Issue,1,0.0
Website Functionality_Issue,1,0.0
Website Update_Issue,1,0.0
Activation_Issue,1,0.0
Weight_Issue,1,0.0
Account Access_Issue,1,0.0
Size_Mismatch_Issue,1,0.0
Battery Performance_Issue,1,0.0
Cartridge_Issue,1,0.0
Shelf Life_Issue,1,0.0
Coverage_Issue,1,0.0
Sales Communication_Issue,1,0.0
Security_Issue,1,0.0
Seller Attention_Issue,1,0.0
Seller Communication_Issue,1,0.0
Seller Experience_Issue,1,0.0
Seller Responsibility_Issue,1,0.0
Delivery Tracking_Issue,1,0.0
Seller_Issue,1,0.0
Seller_Response_Issue,1,0.0
Service Quality_Issue,1,0.0
Service Speed_Issue,1,0.0
Counterfeit_Product_Issue,1,0.0
Setup_Issue,1,0.0
