category,count,percentage
Delivery_Praise,9445,0.45
Product Quality_Praise,2956,0.14
Product_Praise,2332,0.11
Product Satisfaction_Praise,606,0.03
Service_Praise,604,0.03
Quality_Praise,572,0.03
Customer Service_Praise,551,0.03
Praise,276,0.01
Product Recommendation_Praise,214,0.01
Satisfaction_Praise,181,0.01
Store_Praise,178,0.01
Recommendation_Praise,156,0.01
Performance_Praise,138,0.01
Product Performance_Praise,137,0.01
Overall Satisfaction_Praise,107,0.01
Seller_Praise,103,0.0
Packaging_Praise,97,0.0
Shopping Experience_Praise,85,0.0
Store Recommendation_Praise,81,0.0
Customer Loyalty_Praise,80,0.0
Delivery_Praise_Product Quality_Praise,77,0.0
Purchase_Praise,75,0.0
Value_Praise,73,0.0
Product_Praise_Delivery_Praise,69,0.0
Product Condition_Praise,64,0.0
Purchase Experience_Praise,62,0.0
Product Quality_Praise_Delivery_Praise,62,0.0
Product Accuracy_Praise,59,0.0
Customer Satisfaction_Praise,54,0.0
Customer Experience_Praise,45,0.0
Overall Experience_Praise,38,0.0
Product Match_Praise,38,0.0
Product Delivery_Praise,35,0.0
Trust_Praise,35,0.0
Delivery_Praise_Product_Praise,33,0.0
Product Value_Praise,30,0.0
Purchase Satisfaction_Praise,29,0.0
Price_Praise,27,0.0
Overall_Praise,24,0.0
Service Quality_Praise,22,0.0
Store Experience_Praise,18,0.0
Trustworthiness_Praise,17,0.0
Store Quality_Praise,17,0.0
Product Expectation_Praise,17,0.0
Product Appearance_Praise,16,0.0
Seller Recommendation_Praise,16,0.0
Store Reliability_Praise,16,0.0
Product_Quality_Praise,15,0.0
Value for Money_Praise,14,0.0
Product Description_Praise,14,0.0
Transaction_Praise,14,0.0
Cost-Benefit_Praise,14,0.0
Product Fit_Praise,14,0.0
Pricing_Praise,14,0.0
Shipping_Praise,13,0.0
Website_Praise,11,0.0
Product Design_Praise,11,0.0
Loyalty_Praise,10,0.0
Efficiency_Praise,10,0.0
Supplier_Praise,10,0.0
Purchase Process_Praise,10,0.0
Reliability_Praise,10,0.0
Seller Service_Praise,10,0.0
Company Reputation_Praise,10,0.0
Store Reputation_Praise,9,0.0
Delivery_Praise_Quality_Praise,9,0.0
Usability_Praise,9,0.0
Order Fulfillment_Praise,9,0.0
Material_Praise,8,0.0
Purchase_Satisfaction_Praise,8,0.0
Comfort_Praise,7,0.0
Product Functionality_Praise,7,0.0
Expectation Met_Praise,7,0.0
Order Accuracy_Praise,7,0.0
Expectation_Met_Praise,7,0.0
Gift_Praise,7,0.0
General_Praise,7,0.0
Fulfillment_Praise,7,0.0
Company_Praise,7,0.0
Product Efficiency_Praise,6,0.0
Logistics_Praise,6,0.0
Product Aesthetic_Praise,6,0.0
Order Process_Praise,6,0.0
Material Quality_Praise,6,0.0
Product Effectiveness_Praise,6,0.0
Customer Trust_Praise,6,0.0
Service_Praise_Delivery_Praise,6,0.0
Site_Praise,6,0.0
Brand Loyalty_Praise,6,0.0
Store Rating_Praise,6,0.0
Quality_Praise_Delivery_Praise,5,0.0
Service Efficiency_Praise,5,0.0
Fit_Praise,5,0.0
Overall_Satisfaction_Praise,5,0.0
Product Feature_Praise,5,0.0
Agreement_Praise,5,0.0
Condition_Praise,5,0.0
Partnership_Praise,4,0.0
Product and Service_Praise,4,0.0
Design_Praise,4,0.0
Product Aesthetics_Praise,4,0.0
Website Experience_Praise,4,0.0
Security_Praise,4,0.0
Product Authenticity_Praise,4,0.0
Product Comfort_Praise,4,0.0
Communication_Praise,4,0.0
Seller Performance_Praise,4,0.0
Store_Reliability_Praise,4,0.0
Shopping_Praise,4,0.0
Product Size_Praise,4,0.0
Product Utility_Praise,4,0.0
Product_Match_Praise,4,0.0
Delivery Speed_Praise,3,0.0
Seller Reputation_Praise,3,0.0
Store Satisfaction_Praise,3,0.0
