category,count,percentage
Delivery_Praise,2710,0.25
Delivery_Issue,1418,0.13
Unclassifiable,1095,0.1
Product Quality_Praise,838,0.08
Product_Praise,713,0.06
Product Mismatch_Issue,424,0.04
Product Quality_Issue,319,0.03
Product Satisfaction_Praise,176,0.02
Service_Praise,169,0.02
Quality_Praise,166,0.02
Customer Service_Praise,160,0.01
Praise,94,0.01
Customer Service_Issue,93,0.01
Product Damage_Issue,88,0.01
Product Defect_Issue,81,0.01
Store_Praise,71,0.01
Packaging_Issue,67,0.01
Product_Issue,66,0.01
Product Recommendation_Praise,65,0.01
Product Condition_Issue,61,0.01
Order_Issue,56,0.01
Quality_Issue,52,0.0
Order Fulfillment_Issue,48,0.0
Satisfaction_Praise,45,0.0
Recommendation_Praise,42,0.0
Order Cancellation_Issue,41,0.0
Shipping Cost_Issue,41,0.0
Refund_Issue,36,0.0
Overall Satisfaction_Praise,35,0.0
Seller_Praise,34,0.0
Product Size_Issue,33,0.0
Purchase_Praise,32,0.0
Packaging_Praise,30,0.0
Product Performance_Issue,29,0.0
Customer Loyalty_Praise,28,0.0
Product Performance_Praise,28,0.0
Performance_Praise,27,0.0
Shipping_Issue,26,0.0
Store Recommendation_Praise,25,0.0
Delivery_Others,24,0.0
Shopping Experience_Praise,24,0.0
Delivery_Praise_Product Quality_Praise,23,0.0
Stock_Issue,22,0.0
Order Incomplete_Issue,21,0.0
Product_Praise_Delivery_Praise,20,0.0
Invoice_Issue,20,0.0
Product Expectation_Issue,19,0.0
Customer Satisfaction_Praise,19,0.0
Product Missing_Issue,19,0.0
Purchase Experience_Praise,18,0.0
Product Authenticity_Issue,18,0.0
Product Malfunction_Issue,17,0.0
Value_Praise,16,0.0
Product Quality_Praise_Delivery_Praise,16,0.0
Product Condition_Praise,16,0.0
Service_Issue,15,0.0
Performance_Issue,14,0.0
Availability_Issue,14,0.0
Trust_Praise,14,0.0
Customer Experience_Praise,14,0.0
Product Incomplete_Issue,14,0.0
Product Availability_Issue,14,0.0
Overall Experience_Praise,13,0.0
Product Compatibility_Issue,13,0.0
Product Accuracy_Praise,13,0.0
Overall_Praise,12,0.0
Product Functionality_Issue,12,0.0
Order Mismatch_Issue,11,0.0
Product Value_Praise,11,0.0
Communication_Issue,11,0.0
Product Color_Issue,11,0.0
Product Match_Praise,11,0.0
Material_Issue,11,0.0
Assembly_Issue,11,0.0
Purchase Satisfaction_Praise,10,0.0
Pricing_Issue,10,0.0
Size_Issue,10,0.0
Return_Issue,10,0.0
Product Design_Issue,10,0.0
Product Quality_Others,9,0.0
Store Quality_Praise,9,0.0
Product_Mismatch_Issue,9,0.0
Product Description_Issue,9,0.0
Delivery_Praise_Product_Praise,9,0.0
Product Fit_Issue,9,0.0
Price_Praise,8,0.0
Product Information_Issue,8,0.0
Seller Recommendation_Praise,8,0.0
Others,8,0.0
Pricing_Praise,7,0.0
Service Quality_Praise,7,0.0
Shipping_Cost_Issue,7,0.0
Cancellation_Issue,6,0.0
Product Incompleteness_Issue,6,0.0
Product_Quality_Issue,6,0.0
Product Delivery_Praise,6,0.0
Functionality_Issue,6,0.0
Payment_Issue,6,0.0
Store Experience_Praise,6,0.0
Product Specification_Issue,6,0.0
Order_Cancellation_Issue,6,0.0
Product Exchange_Issue,6,0.0
Order Processing_Issue,6,0.0
Transaction_Praise,5,0.0
Product Expectation_Praise,5,0.0
Delivery Delay_Issue,5,0.0
Exchange_Issue,5,0.0
Fulfillment_Praise,5,0.0
Delivery_Delay_Issue,5,0.0
Product_Quality_Praise,5,0.0
Shipping_Praise,5,0.0
Order Inaccuracy_Issue,5,0.0
Recommendation_Others,5,0.0
Order Cancellation_Others,5,0.0
Order_Incomplete_Issue,4,0.0
Trustworthiness_Praise,4,0.0
Missing Item_Issue,4,0.0
Website_Praise,4,0.0
Product Misrepresentation_Issue,4,0.0
Value for Money_Praise,4,0.0
General_Praise,4,0.0
Logistics_Praise,4,0.0
Usability_Praise,4,0.0
Company Reputation_Praise,4,0.0
Product Size_Others,4,0.0
Gift_Praise,4,0.0
Product Delivery_Issue,4,0.0
Delivery_Time_Issue,4,0.0
Seller Service_Praise,4,0.0
Stock Availability_Issue,4,0.0
Store Reliability_Praise,4,0.0
Product Feature_Issue,4,0.0
Material Quality_Issue,3,0.0
Service_Praise_Delivery_Praise,3,0.0
Supplier_Praise,3,0.0
Order Error_Issue,3,0.0
Product Satisfaction_Praise_Delivery_Praise,3,0.0
Product Description_Praise,3,0.0
Product Inquiry_Others,3,0.0
Repeat Purchase_Praise,3,0.0
Product Mismatch_Others,3,0.0
Delivery Time_Issue,3,0.0
Material_Praise,3,0.0
Tracking_Issue,3,0.0
Overall_Satisfaction_Praise,3,0.0
Delivery_Praise_Quality_Praise,3,0.0
Cost-Benefit_Praise,3,0.0
Order Status_Issue,3,0.0
Compatibility_Issue,3,0.0
Order Fulfillment_Praise,3,0.0
Customer Trust_Praise,3,0.0
Product Appearance_Praise,3,0.0
Product Efficiency_Praise,3,0.0
Quality_Others,3,0.0
Product_Issue_Issue,3,0.0
Fit_Praise,3,0.0
Product Improvement_Suggestion,3,0.0
Order Process_Praise,3,0.0
Product Satisfaction_Issue,3,0.0
Product Value_Issue,3,0.0
Order_Status_Issue,3,0.0
Product Fragility_Issue,3,0.0
Comfort_Praise,3,0.0
Documentation_Issue,3,0.0
Pricing_Others,3,0.0
Product Error_Issue,3,0.0
Website_Issue,3,0.0
Order_Fulfillment_Issue,2,0.0
Product Durability_Issue,2,0.0
Order_Praise,2,0.0
Order_Issue_Issue,2,0.0
Product Expectations_Issue,2,0.0
Product Disappointment_Issue,2,0.0
Product Design_Praise,2,0.0
Product Usability_Issue,2,0.0
Product Capacity_Issue,2,0.0
Product Design_Others,2,0.0
Product Manual_Issue,2,0.0
Product Suggestion_Others,2,0.0
Product Improvement_Issue,2,0.0
Product Functionality_Praise,2,0.0
Product_Defect_Issue,2,0.0
Product Protection_Issue,2,0.0
Product Aesthetic_Praise,2,0.0
Product Accuracy_Issue,2,0.0
Product_Color_Issue,2,0.0
Product Missing Piece_Issue,2,0.0
Price and Quality_Praise,2,0.0
Product Information_Others,2,0.0
Postal Service_Issue,2,0.0
Product Fit_Praise,2,0.0
Performance_Others,2,0.0
Product Description_Others,2,0.0
Product Interest_Praise,2,0.0
Product Improvement_Others,2,0.0
Product Size_Praise,2,0.0
Purchase_Issue,2,0.0
Product Expectation_Others,2,0.0
Notification_Issue,2,0.0
Order Mix-Up_Issue,2,0.0
Delivery_Issue_Customer Service_Issue,2,0.0
Seller Reputation_Praise,2,0.0
Expectation_Met_Praise,2,0.0
Supplier_Issue,2,0.0
Expectation_Praise,2,0.0
Support_Issue,2,0.0
Fit_Issue,2,0.0
Seller Quality_Praise,2,0.0
Defective Product_Issue,2,0.0
Seller Performance_Praise,2,0.0
Customer Recommendation_Praise,2,0.0
Customer Loyalty_Others,2,0.0
Information_Others,2,0.0
Customer Loyalty_Issue,2,0.0
Installation_Issue,2,0.0
Expectation Met_Praise,2,0.0
Store_Issue,2,0.0
Counterfeit_Issue,2,0.0
Service Satisfaction_Praise,2,0.0
Delivery_Inquiry,2,0.0
Delivery_Delay,2,0.0
Shipping Information_Issue,2,0.0
Shipping Fee_Issue,2,0.0
Shipping Delay_Issue,2,0.0
Delivery_Slow_Issue,2,0.0
Design_Issue,2,0.0
Enjoyment_Praise,2,0.0
Service Recommendation_Praise,2,0.0
Durability_Issue,2,0.0
Store Recommendation_Issue,2,0.0
Efficiency_Praise,2,0.0
Delivery Method_Issue,2,0.0
Store Satisfaction_Praise,2,0.0
Instruction Manual_Issue,2,0.0
Site_Praise,2,0.0
Missing Parts_Issue,2,0.0
Color Mismatch_Issue,2,0.0
Battery_Issue,2,0.0
Missing Part_Issue,2,0.0
Reliability_Praise,2,0.0
Misleading Advertising_Issue,2,0.0
Advertising_Issue,2,0.0
Material Quality_Praise,2,0.0
Brand Loyalty_Praise,2,0.0
Order Accuracy_Praise,2,0.0
Brand Trust_Praise,2,0.0
Order Confirmation_Issue,2,0.0
Usability_Issue,2,0.0
Security_Praise,2,0.0
Communication_Praise,2,0.0
Safety_Issue,2,0.0
Trust_Issue,2,0.0
Invoice Delay_Issue,2,0.0
Quality_Praise_Delivery_Praise,2,0.0
Store Loyalty_Praise,1,0.0
Warranty Satisfaction_Praise,1,0.0
Store Competence_Praise,1,0.0
Product Upgrade_Praise,1,0.0
Sound Quality_Praise,1,0.0
Website Experience_Praise,1,0.0
Product Usage_Praise,1,0.0
Product Return_Issue,1,0.0
Product Use_Others,1,0.0
Size_Issue_Issue,1,0.0
Product Replacement_Praise,1,0.0
Product Usefulness_Praise,1,0.0
Sizing_Others,1,0.0
Product Utility_Praise,1,0.0
Sound Quality_Issue,1,0.0
Tracking_Praise,1,0.0
Warranty Assistance_Issue,1,0.0
Store_Reliability_Praise,1,0.0
Trust_Others,1,0.0
Product Suggestion,1,0.0
Product Size_Issue_Delivery_Praise,1,0.0
Urgency_Others,1,0.0
User Manual_Issue,1,0.0
Value_Issue,1,0.0
Suggestion_Others,1,0.0
Product Satisfaction_Others,1,0.0
Product Tampering_Issue,1,0.0
Value_Satisfaction_Praise,1,0.0
Store Reputation_Praise,1,0.0
Store Recommendation_Others,1,0.0
Transport_Issue,1,0.0
Product Suitability_Praise,1,0.0
Store Organization_Issue,1,0.0
Product Surprise_Praise,1,0.0
Technical Advice_Others,1,0.0
Service_Others,1,0.0
Shopping Experience_Issue,1,0.0
Return Policy_Issue,1,0.0
Product_Quantity_Issue,1,0.0
Product_Question,1,0.0
Product_Satisfactory,1,0.0
Product_Size_Issue,1,0.0
Punctuality_Praise,1,0.0
Seller Communication_Issue,1,0.0
Seller Attentiveness_Praise,1,0.0
Security_Issue,1,0.0
Satisfaction_Others,1,0.0
Return_Request,1,0.0
Return_Praise,1,0.0
Return Process_Issue,1,0.0
Reshipment_Issue,1,0.0
Shipping_Info_Issue,1,0.0
Purchase Process_Praise,1,0.0
Purchase Recommendation_Praise,1,0.0
Repurchase_Praise,1,0.0
Purchase_Experience_Issue,1,0.0
Remote Control_Issue,1,0.0
Refund_Praise,1,0.0
Product Recommendation_Others,1,0.0
Recommendation_Issue,1,0.0
Receipt_Issue,1,0.0
Purchase_Satisfaction_Praise,1,0.0
Quality_Unsure,1,0.0
Quality_Unclassifiable,1,0.0
Seller Experience_Issue,1,0.0
Seller Recommendation,1,0.0
Seller Reliability_Praise,1,0.0
Product_Others,1,0.0
Product Variety_Issue,1,0.0
Shipping Options_Others,1,0.0
Product Voltage_Issue,1,0.0
Product Weight_Issue,1,0.0
Product Wrong Item_Issue,1,0.0
Product and Service_Praise,1,0.0
Product_Aesthetic_Praise,1,0.0
Product_Availability_Issue,1,0.0
Shipping Cost_Concern,1,0.0
Service_Praise_Quality_Praise,1,0.0
Quality Standard_Issue,1,0.0
Service Speed_Issue,1,0.0
Service Quality_Issue,1,0.0
Product_Comparison_Issue,1,0.0
Product_Condition_Issue,1,0.0
Product_Damage_Issue,1,0.0
Service Expectations_Others,1,0.0
Seller_Response_Issue,1,0.0
Product_Durability_Issue,1,0.0
Product_Functionality_Issue,1,0.0
Product_Incomplete_Issue,1,0.0
Seller Trust_Issue,1,0.0
Product_Issue_Delivery_Praise,1,0.0
Seller Responsibility_Issue,1,0.0
Product_Issue_Others,1,0.0
Access_Issue,1,0.0
Product Coverage_Issue,1,0.0
Product Recommendation,1,0.0
Delivery and Pricing_Praise,1,0.0
Delivery_Praise_Service_Praise,1,0.0
Delivery_Praise_Recommendation_Praise,1,0.0
Delivery_Praise_Product Specification_Praise,1,0.0
Delivery_Praise_Product Quality_Issue,1,0.0
Delivery_Praise_Product Features_Issue,1,0.0
Delivery_Praise_Product Condition_Issue,1,0.0
Delivery_Praise_Material Quality_Praise,1,0.0
Delivery_Praise_Customer Recommendation_Praise,1,0.0
Delivery_Mismatch_Issue,1,0.0
Delivery_Issue_Quality_Issue,1,0.0
Delivery_Issue_Product Quality_Praise,1,0.0
Delivery_Issue_Product Quality_Issue,1,0.0
Delivery_Issue_Product Mismatch_Issue,1,0.0
Delivery_Issue_Issue,1,0.0
Delivery_Issue_Delivery_Praise,1,0.0
Delivery_Issue_Cancellation_Issue,1,0.0
Delivery_Issue with Order_Issue,1,0.0
Delivery_Fee_Issue,1,0.0
Delivery_Cost_Issue,1,0.0
Delivery_Resolution_Praise,1,0.0
Delivery_Suggestion,1,0.0
Delivery_Time_Praise,1,0.0
Expectation_Meeting_Praise,1,0.0
Instruction_Issue,1,0.0
Instruction Missing_Issue,1,0.0
Information_Issue,1,0.0
Information Accuracy_Issue,1,0.0
Gift Satisfaction_Praise,1,0.0
General Satisfaction_Praise,1,0.0
First Purchase_Praise,1,0.0
Expiration_Issue,1,0.0
Expectation_Issue,1,0.0
Delivery_Uncertain,1,0.0
Exchange_Request_Others,1,0.0
Exchange Request_Others,1,0.0
Exchange Delay_Issue,1,0.0
Ease of Use_Praise,1,0.0
Early Delivery_Praise,1,0.0
Durability_Concern,1,0.0
Device_Issue,1,0.0
Design_Praise,1,0.0
Delivery_Concern,1,0.0
Delivery Urgency_Issue,1,0.0
Product Received_Praise,1,0.0
Delivery Tracking_Issue,1,0.0
Company_Praise,1,0.0
Company_Issue,1,0.0
Company Reliability_Praise,1,0.0
Commitment_Praise,1,0.0
Comfort_Praise_Aesthetic_Praise,1,0.0
Color_Mismatch_Others,1,0.0
Color_Mismatch_Issue,1,0.0
Color_Issue,1,0.0
Checkout_Issue,1,0.0
Cancellation_Request,1,0.0
Business Inquiry_Others,1,0.0
Brand_Issue,1,0.0
Brand Recommendation_Others,1,0.0
Billing_Issue,1,0.0
Authenticity_Issue,1,0.0
Assistance_Issue,1,0.0
Aesthetic_Praise,1,0.0
Advertisement_Issue,1,0.0
Adaptation_Praise,1,0.0
Configuration_Issue,1,0.0
Counterfeit Product_Issue,1,0.0
Customer Experience_Issue,1,0.0
Delivery Inquiry_Others,1,0.0
Delivery Service_Issue,1,0.0
Delivery Quality_Praise,1,0.0
Delivery Quality_Issue,1,0.0
Delivery Process_Issue,1,0.0
Delivery Option_Suggestion,1,0.0
Delivery Notification_Issue,1,0.0
Delivery Mismatch_Issue,1,0.0
Delivery Instructions_Others,1,0.0
Delivery Information_Issue,1,0.0
Customer Relationship_Praise,1,0.0
Delivery Improvement_Suggestion,1,0.0
Delivery Date_Issue,1,0.0
Delivery Communication_Issue,1,0.0
Deal_Praise,1,0.0
Damaged_Product_Issue,1,0.0
Customer_Service_Issue,1,0.0
Customer Surprise_Praise,1,0.0
Customer Respect_Praise,1,0.0
Instructions_Issue,1,0.0
Internet_Issue,1,0.0
Inventory_Issue,1,0.0
Issue,1,0.0
Product Exceeded Expectations_Praise,1,0.0
Product Enjoyment_Praise,1,0.0
Product Efficiency_Others,1,0.0
Product Duplication_Issue,1,0.0
Product Dislike_Others,1,0.0
Product Dislike_Issue,1,0.0
Product Detail_Issue,1,0.0
Product Design_Suggestion,1,0.0
Product Defect_Issue_Customer Service_Praise,1,0.0
Product Deception_Issue,1,0.0
Product Damage_Issue_Customer Service_Issue,1,0.0
Accessories_Issue,1,0.0
Product Condition_Others,1,0.0
Product Component_Issue,1,0.0
Product Compliance_Praise,1,0.0
Product Compatibility_Others,1,0.0
Product Comparison_Issue,1,0.0
Product Comfort_Praise,1,0.0
Product Comfort_Issue,1,0.0
Product Experience_Praise,1,0.0
Product Expiration_Issue,1,0.0
Product Expiry_Issue,1,0.0
Product Loyalty_Praise,1,0.0
Product Quantity_Issue,1,0.0
Product Purchase_Praise,1,0.0
Product Practicality_Praise,1,0.0
Product Packaging_Praise,1,0.0
Product Not Received_Issue,1,0.0
Product Missing Accessories_Issue,1,0.0
Product Mismatch_Praise,1,0.0
Product Mismatch_Issue_Customer Service_Issue,1,0.0
Product Love_Praise,1,0.0
Product Feature_Praise,1,0.0
Product Longevity_Issue,1,0.0
Product Improvement_Praise,1,0.0
Product Function_Issue,1,0.0
Product Flaw_Issue,1,0.0
Product Flavor_Issue,1,0.0
