category,count,percentage
Delivery_Issue,1418,0.38
Product Mismatch_Issue,424,0.11
Product Quality_Issue,319,0.09
Customer Service_Issue,93,0.02
Product Damage_Issue,88,0.02
Product Defect_Issue,81,0.02
Packaging_Issue,67,0.02
Product_Issue,66,0.02
Product Condition_Issue,61,0.02
Order_Issue,56,0.02
Quality_Issue,52,0.01
Order Fulfillment_Issue,48,0.01
Shipping Cost_Issue,41,0.01
Order Cancellation_Issue,41,0.01
Refund_Issue,36,0.01
Product Size_Issue,33,0.01
Product Performance_Issue,29,0.01
Shipping_Issue,26,0.01
Stock_Issue,22,0.01
Order Incomplete_Issue,21,0.01
Invoice_Issue,20,0.01
Product Expectation_Issue,19,0.01
Product Missing_Issue,19,0.01
Product Authenticity_Issue,18,0.0
Product Malfunction_Issue,17,0.0
Service_Issue,15,0.0
Product Incomplete_Issue,14,0.0
Performance_Issue,14,0.0
Product Availability_Issue,14,0.0
Availability_Issue,14,0.0
Product Compatibility_Issue,13,0.0
Product Functionality_Issue,12,0.0
Communication_Issue,11,0.0
Order Mismatch_Issue,11,0.0
Assembly_Issue,11,0.0
Material_Issue,11,0.0
Product Color_Issue,11,0.0
Product Design_Issue,10,0.0
Size_Issue,10,0.0
Return_Issue,10,0.0
Pricing_Issue,10,0.0
Product Description_Issue,9,0.0
Product_Mismatch_Issue,9,0.0
Product Fit_Issue,9,0.0
Product Information_Issue,8,0.0
Shipping_Cost_Issue,7,0.0
Payment_Issue,6,0.0
Order Processing_Issue,6,0.0
Product_Quality_Issue,6,0.0
Cancellation_Issue,6,0.0
Functionality_Issue,6,0.0
Product Exchange_Issue,6,0.0
Product Incompleteness_Issue,6,0.0
Order_Cancellation_Issue,6,0.0
Product Specification_Issue,6,0.0
Exchange_Issue,5,0.0
Delivery_Delay_Issue,5,0.0
Delivery Delay_Issue,5,0.0
Order Inaccuracy_Issue,5,0.0
Product Feature_Issue,4,0.0
Product Misrepresentation_Issue,4,0.0
Order_Incomplete_Issue,4,0.0
Missing Item_Issue,4,0.0
Product Delivery_Issue,4,0.0
Stock Availability_Issue,4,0.0
Delivery_Time_Issue,4,0.0
Product Error_Issue,3,0.0
Order Error_Issue,3,0.0
Product Value_Issue,3,0.0
Order_Status_Issue,3,0.0
Product_Issue_Issue,3,0.0
Product Fragility_Issue,3,0.0
Product Satisfaction_Issue,3,0.0
Order Status_Issue,3,0.0
Material Quality_Issue,3,0.0
Compatibility_Issue,3,0.0
Website_Issue,3,0.0
Delivery Time_Issue,3,0.0
Tracking_Issue,3,0.0
Documentation_Issue,3,0.0
Support_Issue,2,0.0
Delivery_Slow_Issue,2,0.0
Product_Color_Issue,2,0.0
Shipping Information_Issue,2,0.0
Order Mix-Up_Issue,2,0.0
