category,count,percentage
Delivery_Praise,3472,0.23
Delivery_Issue,2397,0.16
Unclassifiable,1484,0.1
Product Quality_Praise,1148,0.08
Product_Praise,922,0.06
Product Mismatch_Issue,679,0.04
Product Quality_Issue,450,0.03
Product Satisfaction_Praise,224,0.01
Service_Praise,222,0.01
Quality_Praise,217,0.01
Customer Service_Praise,212,0.01
Customer Service_Issue,180,0.01
Product Defect_Issue,111,0.01
Packaging_Issue,110,0.01
Order_Issue,108,0.01
Product_Issue,106,0.01
Praise,102,0.01
Quality_Issue,89,0.01
Product Recommendation_Praise,77,0.01
Order Fulfillment_Issue,75,0.0
Product Size_Issue,69,0.0
Satisfaction_Praise,68,0.0
Product Damage_Issue,67,0.0
Store_Praise,65,0.0
Recommendation_Praise,61,0.0
Product Condition_Issue,60,0.0
Performance_Praise,56,0.0
Product Authenticity_Issue,52,0.0
Product Performance_Praise,49,0.0
Shipping Cost_Issue,48,0.0
Order Incomplete_Issue,43,0.0
Invoice_Issue,38,0.0
Overall Satisfaction_Praise,37,0.0
Seller_Praise,37,0.0
Shopping Experience_Praise,37,0.0
Product Missing_Issue,36,0.0
Refund_Issue,35,0.0
Product Performance_Issue,34,0.0
Order Cancellation_Issue,32,0.0
Value_Praise,31,0.0
Shipping_Issue,29,0.0
Packaging_Praise,28,0.0
Product Expectation_Issue,28,0.0
Purchase_Praise,27,0.0
Service_Issue,27,0.0
Customer Loyalty_Praise,27,0.0
Delivery_Praise_Product Quality_Praise,26,0.0
Product Malfunction_Issue,26,0.0
Customer Satisfaction_Praise,25,0.0
Product Condition_Praise,25,0.0
Store Recommendation_Praise,23,0.0
Purchase Experience_Praise,22,0.0
Product Compatibility_Issue,21,0.0
Product Description_Issue,21,0.0
Product_Praise_Delivery_Praise,20,0.0
Product Accuracy_Praise,20,0.0
Delivery_Others,19,0.0
Product Quality_Praise_Delivery_Praise,19,0.0
Material_Issue,18,0.0
Return_Issue,18,0.0
Cancellation_Issue,16,0.0
Communication_Issue,16,0.0
Product Color_Issue,16,0.0
Performance_Issue,16,0.0
Product Incomplete_Issue,15,0.0
Product Delivery_Praise,15,0.0
Product Information_Issue,14,0.0
Product Design_Issue,14,0.0
Trust_Praise,13,0.0
Order Mismatch_Issue,13,0.0
Overall Experience_Praise,13,0.0
Product Match_Praise,13,0.0
Delivery_Time_Issue,13,0.0
Product_Quality_Issue,13,0.0
Stock_Issue,12,0.0
Product Value_Praise,12,0.0
Product Functionality_Issue,12,0.0
Delivery_Delay_Issue,12,0.0
Product Specification_Issue,12,0.0
Product Quality_Others,11,0.0
Size_Issue,11,0.0
Delivery_Praise_Product_Praise,11,0.0
Pricing_Issue,11,0.0
Product_Mismatch_Issue,11,0.0
Price_Praise,11,0.0
Customer Experience_Praise,11,0.0
Store Reliability_Praise,11,0.0
Overall_Praise,10,0.0
Others,10,0.0
Store Quality_Praise,9,0.0
Product Appearance_Praise,9,0.0
Product Availability_Issue,9,0.0
Purchase Satisfaction_Praise,9,0.0
Payment_Issue,8,0.0
Product Exchange_Issue,8,0.0
Product Expectation_Praise,8,0.0
Order Processing_Issue,8,0.0
Store Experience_Praise,8,0.0
Shipping_Praise,7,0.0
Material Quality_Issue,7,0.0
Delivery_Praise_Quality_Praise,7,0.0
Exchange_Issue,7,0.0
Functionality_Issue,7,0.0
Product Description_Praise,7,0.0
Value for Money_Praise,7,0.0
Product Delivery_Issue,6,0.0
Order Error_Issue,6,0.0
Shipping_Cost_Issue,6,0.0
Product_Quality_Praise,6,0.0
Order Inaccuracy_Issue,6,0.0
Product Description_Others,6,0.0
Loyalty_Praise,6,0.0
Delivery Time_Issue,6,0.0
Pricing_Praise,6,0.0
Service Quality_Praise,6,0.0
Product Misrepresentation_Issue,6,0.0
Shipping Fee_Issue,6,0.0
Transaction_Praise,6,0.0
Packaging_Others,5,0.0
Seller Service_Praise,5,0.0
Reliability_Praise,5,0.0
Product Comfort_Issue,5,0.0
Product Durability_Issue,5,0.0
Delivery_Issue_Customer Service_Issue,5,0.0
Store_Issue,5,0.0
Comfort_Praise,5,0.0
Compatibility_Issue,5,0.0
Cost-Benefit_Praise,5,0.0
Product Color Mismatch_Issue,5,0.0
Recommendation_Others,5,0.0
Product Counterfeit_Issue,5,0.0
Seller Recommendation_Praise,4,0.0
Expectation_Met_Praise,4,0.0
Missing Item_Issue,4,0.0
Order Cancellation_Others,4,0.0
Fulfillment_Praise,4,0.0
Material Quality_Praise,4,0.0
Order Quantity_Issue,4,0.0
Order Accuracy_Praise,4,0.0
Product Error_Issue,4,0.0
Quality_Others,4,0.0
Tracking_Issue,4,0.0
Website_Praise,4,0.0
Product Size_Others,4,0.0
Availability_Issue,4,0.0
Brand Loyalty_Praise,4,0.0
Color Mismatch_Issue,4,0.0
Product Manual_Issue,4,0.0
Company Reputation_Praise,4,0.0
Product_Functionality_Issue,4,0.0
Counterfeit_Issue,4,0.0
Usability_Praise,4,0.0
Product Function_Issue,4,0.0
Trustworthiness_Praise,4,0.0
Product Fit_Issue,4,0.0
Product Completeness_Issue,4,0.0
Purchase Process_Praise,4,0.0
Delivery Delay_Issue,4,0.0
Order_Incomplete_Issue,3,0.0
Purchase_Issue,3,0.0
Price_Issue,3,0.0
Product Satisfaction_Issue,3,0.0
Product Recommendation_Others,3,0.0
Pricing_Others,3,0.0
Product Quantity_Issue,3,0.0
Missing Parts_Issue,3,0.0
Product Aesthetic_Praise,3,0.0
Product Packaging_Issue,3,0.0
Product Aesthetics_Praise,3,0.0
Product_Condition_Issue,3,0.0
Product_Damage_Issue,3,0.0
Punctuality_Praise,3,0.0
Product Feature_Issue,3,0.0
Product Inquiry_Others,3,0.0
Product Comfort_Praise,3,0.0
Misleading Advertising_Issue,3,0.0
Order Fulfillment_Praise,3,0.0
Product Design_Others,3,0.0
Product Design_Praise,3,0.0
Product Fragility_Issue,3,0.0
Postal Service_Issue,3,0.0
Product_Issue_Issue,3,0.0
Product Fit_Praise,3,0.0
Order_Issue_Issue,3,0.0
Product Expiration_Issue,3,0.0
Order Missing_Issue,3,0.0
Order Incompleteness_Issue,3,0.0
Site_Praise,3,0.0
Instructions_Issue,3,0.0
Delivery Information_Issue,3,0.0
Agreement_Praise,3,0.0
Company_Praise,3,0.0
Website_Issue,3,0.0
Store Recommendation_Issue,3,0.0
Communication_Praise,3,0.0
Delivery_Concern,3,0.0
Delivery_Early_Praise,3,0.0
Comfort_Issue,3,0.0
Color_Issue,3,0.0
Expectation Met_Praise,3,0.0
Exchange_Request,3,0.0
Battery_Issue,3,0.0
Efficiency_Praise,3,0.0
Documentation_Issue,3,0.0
Advertising_Issue,3,0.0
Delivery_Suggestion,3,0.0
Supplier_Praise,3,0.0
Logistics_Issue,3,0.0
Logistics_Praise,3,0.0
Customer Recommendation_Praise,3,0.0
Customer Loyalty_Others,2,0.0
Product Purchase_Praise,2,0.0
Product Improvement_Others,2,0.0
Delivery_Issue_Quality_Issue,2,0.0
Warranty_Issue,2,0.0
Website Experience_Praise,2,0.0
Delivery_Mismatch_Issue,2,0.0
Product_Authenticity_Issue,2,0.0
Product Authenticity_Praise,2,0.0
Delivery_Slow_Issue,2,0.0
Product Finish_Issue,2,0.0
Product Assembly_Issue,2,0.0
Trust_Issue,2,0.0
Product Missing Part_Issue,2,0.0
Product Presentation_Issue,2,0.0
Delivery_Praise_Product Quality_Issue,2,0.0
Delivery_Praise_Product Size_Issue,2,0.0
Product Accuracy_Issue,2,0.0
Customer Commitment_Others,2,0.0
Delivery_Praise_Quality_Issue,2,0.0
Shopping_Praise,2,0.0
Delivery_Issue_Issue,2,0.0
Delivery_Incomplete_Issue,2,0.0
Delivery_Inquiry,2,0.0
Condition_Praise,2,0.0
Supplier_Issue,2,0.0
Product_Fit_Issue,2,0.0
Product Expectation_Others,2,0.0
Support_Issue,2,0.0
Product_Quantity_Issue,2,0.0
Defective Product_Issue,2,0.0
