category,count,percentage
Delivery_Issue,2397,0.42
Product Mismatch_Issue,679,0.12
Product Quality_Issue,450,0.08
Customer Service_Issue,180,0.03
Product Defect_Issue,111,0.02
Packaging_Issue,110,0.02
Order_Issue,108,0.02
Product_Issue,106,0.02
Quality_Issue,89,0.02
Order Fulfillment_Issue,75,0.01
Product Size_Issue,69,0.01
Product Damage_Issue,67,0.01
Product Condition_Issue,60,0.01
Product Authenticity_Issue,52,0.01
Shipping Cost_Issue,48,0.01
Order Incomplete_Issue,43,0.01
Invoice_Issue,38,0.01
Product Missing_Issue,36,0.01
Refund_Issue,35,0.01
Product Performance_Issue,34,0.01
Order Cancellation_Issue,32,0.01
Shipping_Issue,29,0.01
Product Expectation_Issue,28,0.0
Service_Issue,27,0.0
Product Malfunction_Issue,26,0.0
Product Compatibility_Issue,21,0.0
Product Description_Issue,21,0.0
Material_Issue,18,0.0
Return_Issue,18,0.0
Communication_Issue,16,0.0
Product Color_Issue,16,0.0
Cancellation_Issue,16,0.0
Performance_Issue,16,0.0
Product Incomplete_Issue,15,0.0
Product Design_Issue,14,0.0
Product Information_Issue,14,0.0
Product_Quality_Issue,13,0.0
Delivery_Time_Issue,13,0.0
Order Mismatch_Issue,13,0.0
Stock_Issue,12,0.0
Product Specification_Issue,12,0.0
Product Functionality_Issue,12,0.0
Delivery_Delay_Issue,12,0.0
Size_Issue,11,0.0
Product_Mismatch_Issue,11,0.0
Pricing_Issue,11,0.0
Product Availability_Issue,9,0.0
Payment_Issue,8,0.0
Order Processing_Issue,8,0.0
Product Exchange_Issue,8,0.0
Material Quality_Issue,7,0.0
Functionality_Issue,7,0.0
Exchange_Issue,7,0.0
Product Delivery_Issue,6,0.0
Order Error_Issue,6,0.0
Delivery Time_Issue,6,0.0
Shipping_Cost_Issue,6,0.0
Order Inaccuracy_Issue,6,0.0
Product Misrepresentation_Issue,6,0.0
Shipping Fee_Issue,6,0.0
Product Counterfeit_Issue,5,0.0
Product Color Mismatch_Issue,5,0.0
Product Durability_Issue,5,0.0
Product Comfort_Issue,5,0.0
Delivery_Issue_Customer Service_Issue,5,0.0
Store_Issue,5,0.0
Compatibility_Issue,5,0.0
Delivery Delay_Issue,4,0.0
Product_Functionality_Issue,4,0.0
Color Mismatch_Issue,4,0.0
Product Fit_Issue,4,0.0
Product Error_Issue,4,0.0
Product Function_Issue,4,0.0
Order Quantity_Issue,4,0.0
Product Manual_Issue,4,0.0
Availability_Issue,4,0.0
Missing Item_Issue,4,0.0
Product Completeness_Issue,4,0.0
Counterfeit_Issue,4,0.0
Tracking_Issue,4,0.0
Order Incompleteness_Issue,3,0.0
Product Expiration_Issue,3,0.0
Comfort_Issue,3,0.0
Misleading Advertising_Issue,3,0.0
Purchase_Issue,3,0.0
Store Recommendation_Issue,3,0.0
Missing Parts_Issue,3,0.0
Delivery Information_Issue,3,0.0
Color_Issue,3,0.0
Product_Condition_Issue,3,0.0
Price_Issue,3,0.0
Logistics_Issue,3,0.0
Order_Incomplete_Issue,3,0.0
Postal Service_Issue,3,0.0
Battery_Issue,3,0.0
Product Quantity_Issue,3,0.0
Order_Issue_Issue,3,0.0
Website_Issue,3,0.0
Product Packaging_Issue,3,0.0
Advertising_Issue,3,0.0
Documentation_Issue,3,0.0
Product Feature_Issue,3,0.0
Product Satisfaction_Issue,3,0.0
Product_Damage_Issue,3,0.0
Product Fragility_Issue,3,0.0
Order Missing_Issue,3,0.0
Instructions_Issue,3,0.0
Product_Issue_Issue,3,0.0
Product_Durability_Issue,2,0.0
Delivery_Praise_Product Size_Issue,2,0.0
Defective Product_Issue,2,0.0
Order_Status_Issue,2,0.0
Supplier_Issue,2,0.0
Product Accuracy_Issue,2,0.0
Delivery_Praise_Product Quality_Issue,2,0.0
Product Assembly_Issue,2,0.0
Brand_Issue,2,0.0
Product Presentation_Issue,2,0.0
Product Missing Part_Issue,2,0.0
Assembly_Issue,2,0.0
Warranty_Issue,2,0.0
Authenticity_Issue,2,0.0
