category,count,percentage
Delivery_Praise,3472,0.45
Product Quality_Praise,1148,0.15
Product_Praise,922,0.12
Product Satisfaction_Praise,224,0.03
Service_Praise,222,0.03
Quality_Praise,217,0.03
Customer Service_Praise,212,0.03
Praise,102,0.01
Product Recommendation_Praise,77,0.01
Satisfaction_Praise,68,0.01
Store_Praise,65,0.01
Recommendation_Praise,61,0.01
Performance_Praise,56,0.01
Product Performance_Praise,49,0.01
Overall Satisfaction_Praise,37,0.0
Seller_Praise,37,0.0
Shopping Experience_Praise,37,0.0
Value_Praise,31,0.0
Packaging_Praise,28,0.0
Purchase_Praise,27,0.0
Customer Loyalty_Praise,27,0.0
Delivery_Praise_Product Quality_Praise,26,0.0
Customer Satisfaction_Praise,25,0.0
Product Condition_Praise,25,0.0
Store Recommendation_Praise,23,0.0
Purchase Experience_Praise,22,0.0
Product_Praise_Delivery_Praise,20,0.0
Product Accuracy_Praise,20,0.0
Product Quality_Praise_Delivery_Praise,19,0.0
Product Delivery_Praise,15,0.0
Product Match_Praise,13,0.0
Trust_Praise,13,0.0
Overall Experience_Praise,13,0.0
Product Value_Praise,12,0.0
Customer Experience_Praise,11,0.0
Store Reliability_Praise,11,0.0
Price_Praise,11,0.0
Delivery_Praise_Product_Praise,11,0.0
Overall_Praise,10,0.0
Store Quality_Praise,9,0.0
Product Appearance_Praise,9,0.0
Purchase Satisfaction_Praise,9,0.0
Store Experience_Praise,8,0.0
Product Expectation_Praise,8,0.0
Delivery_Praise_Quality_Praise,7,0.0
Value for Money_Praise,7,0.0
Shipping_Praise,7,0.0
Product Description_Praise,7,0.0
Pricing_Praise,6,0.0
Service Quality_Praise,6,0.0
Product_Quality_Praise,6,0.0
Transaction_Praise,6,0.0
Loyalty_Praise,6,0.0
Seller Service_Praise,5,0.0
Reliability_Praise,5,0.0
Comfort_Praise,5,0.0
Cost-Benefit_Praise,5,0.0
Order Accuracy_Praise,4,0.0
Material Quality_Praise,4,0.0
Website_Praise,4,0.0
Brand Loyalty_Praise,4,0.0
Expectation_Met_Praise,4,0.0
Trustworthiness_Praise,4,0.0
Usability_Praise,4,0.0
Seller Recommendation_Praise,4,0.0
Company Reputation_Praise,4,0.0
Fulfillment_Praise,4,0.0
Purchase Process_Praise,4,0.0
Product Fit_Praise,3,0.0
Company_Praise,3,0.0
Product Aesthetics_Praise,3,0.0
Product Aesthetic_Praise,3,0.0
Customer Recommendation_Praise,3,0.0
Supplier_Praise,3,0.0
Punctuality_Praise,3,0.0
Site_Praise,3,0.0
Delivery_Early_Praise,3,0.0
Order Fulfillment_Praise,3,0.0
Communication_Praise,3,0.0
Agreement_Praise,3,0.0
Product Comfort_Praise,3,0.0
Product Design_Praise,3,0.0
Efficiency_Praise,3,0.0
Expectation Met_Praise,3,0.0
Logistics_Praise,3,0.0
Website Experience_Praise,2,0.0
Product Features_Praise,2,0.0
Store Rating_Praise,2,0.0
Product Purchase_Praise,2,0.0
Store Satisfaction_Praise,2,0.0
Shopping_Praise,2,0.0
Service_Praise_Delivery_Praise,2,0.0
Service Recommendation_Praise,2,0.0
Product Size_Praise,2,0.0
Seller Reputation_Praise,2,0.0
Product Utility_Praise,2,0.0
Quality_Praise_Delivery_Praise,2,0.0
Purchase_Satisfaction_Praise,2,0.0
Product Feature_Praise,2,0.0
Aesthetic_Praise,2,0.0
General_Praise,2,0.0
Fit_Praise,2,0.0
Overall_Satisfaction_Praise,2,0.0
Condition_Praise,2,0.0
Product Authenticity_Praise,2,0.0
Brand Trust_Praise,2,0.0
Material_Praise,2,0.0
Product Efficiency_Praise,2,0.0
Delivery and Pricing_Praise,1,0.0
Delivery and Satisfaction_Praise,1,0.0
Service Speed_Praise,1,0.0
Delivery_Issue_Delivery_Praise,1,0.0
Service_Trust_Praise,1,0.0
Site Recommendation_Praise,1,0.0
Service_Satisfaction_Praise,1,0.0
Delivery Service_Praise,1,0.0
Delivery_Issue_Product Quality_Praise,1,0.0
Size_Praise,1,0.0
Delivery_Issue_Product_Praise,1,0.0
Product Exchange_Praise,1,0.0
Delivery_Praise_Product Accuracy_Praise,1,0.0
Service Satisfaction_Praise,1,0.0
Service Reliability_Praise,1,0.0
Store Efficiency_Praise,1,0.0
Delivery_Praise_Service_Praise,1,0.0
Delivery_Praise_Shopping Experience_Praise,1,0.0
Delivery_Resolution_Praise,1,0.0
Delivery_Time_Praise,1,0.0
Seller Reliability_Praise,1,0.0
Design_Praise,1,0.0
Seller Quality_Praise,1,0.0
Security_Praise,1,0.0
Speed and Quality_Praise,1,0.0
Delivery Reliability_Praise,1,0.0
Delivery Satisfaction_Praise,1,0.0
Tracking_Praise,1,0.0
Website Service_Praise,1,0.0
Website Security_Praise,1,0.0
Website Quality_Praise,1,0.0
App_Praise,1,0.0
Warranty Satisfaction_Praise,1,0.0
Buying Process_Praise,1,0.0
User Experience_Praise,1,0.0
Usage_Praise,1,0.0
Company Quality_Praise,1,0.0
Company Reliability_Praise,1,0.0
Customer Commitment_Praise,1,0.0
Customer Service_Praise_Delivery_Praise,1,0.0
Store Loyalty_Praise,1,0.0
Store_Reliability_Praise,1,0.0
Store_Recommendation_Praise,1,0.0
Customer Support_Praise,1,0.0
Store Trust_Praise,1,0.0
Store Service_Praise,1,0.0
Customer Trust_Praise,1,0.0
Store Reputation_Praise,1,0.0
Customer_Service_Praise,1,0.0
Deal_Praise,1,0.0
Delivery Commitment_Praise,1,0.0
Return_Praise,1,0.0
Early Delivery_Praise,1,0.0
Fabric Quality_Issue_Delivery_Praise,1,0.0
Repurchase_Praise,1,0.0
Product Received_Praise,1,0.0
Overall Service_Praise,1,0.0
Product Use_Praise,1,0.0
