category,count,percentage
Delivery_Issue,470,0.37
Product Mismatch_Issue,155,0.12
Product Quality_Issue,111,0.09
Customer Service_Issue,33,0.03
Quality_Issue,31,0.02
Packaging_Issue,29,0.02
Product Defect_Issue,29,0.02
Product_Issue,26,0.02
Product Condition_Issue,20,0.02
Order Fulfillment_Issue,17,0.01
Shipping Cost_Issue,16,0.01
Order_Issue,15,0.01
Product Damage_Issue,15,0.01
Refund_Issue,13,0.01
Product Size_Issue,12,0.01
Invoice_Issue,10,0.01
Performance_Issue,9,0.01
Product Authenticity_Issue,8,0.01
Order Cancellation_Issue,8,0.01
Product Missing_Issue,7,0.01
Order Incomplete_Issue,7,0.01
Product Expectation_Issue,7,0.01
Service_Issue,7,0.01
Product Performance_Issue,7,0.01
Product Compatibility_Issue,7,0.01
Shipping_Issue,6,0.0
Material_Issue,6,0.0
Product Color_Issue,6,0.0
Size_Issue,5,0.0
Product Incomplete_Issue,5,0.0
Pricing_Issue,5,0.0
Product Malfunction_Issue,5,0.0
Product Design_Issue,4,0.0
Product Information_Issue,4,0.0
Product Misrepresentation_Issue,4,0.0
Communication_Issue,4,0.0
Product_Quality_Issue,4,0.0
Product_Mismatch_Issue,4,0.0
Order Mismatch_Issue,4,0.0
Material Quality_Issue,3,0.0
Product Specification_Issue,3,0.0
Product Functionality_Issue,3,0.0
Product Delivery_Issue,3,0.0
Cancellation_Issue,3,0.0
Product Error_Issue,3,0.0
Return_Issue,3,0.0
Product Description_Issue,3,0.0
Product Exchange_Issue,2,0.0
Product Satisfaction_Issue,2,0.0
Product Durability_Issue,2,0.0
Product Availability_Issue,2,0.0
Order Inaccuracy_Issue,2,0.0
Order Processing_Issue,2,0.0
Misleading Advertising_Issue,2,0.0
Shipping_Cost_Issue,2,0.0
Functionality_Issue,2,0.0
Defective Product_Issue,2,0.0
Counterfeit_Issue,2,0.0
Store Recommendation_Issue,2,0.0
Delivery_Time_Issue,2,0.0
Exchange_Issue,2,0.0
Compatibility_Issue,2,0.0
Color Mismatch_Issue,2,0.0
Product Feature_Issue,2,0.0
Website_Issue,2,0.0
Advertising_Issue,2,0.0
Stock_Issue,2,0.0
Tracking_Issue,1,0.0
Transport_Issue,1,0.0
Product Improvement_Issue,1,0.0
Product Fit_Issue,1,0.0
Trust_Issue,1,0.0
Product Flavor_Issue,1,0.0
User Manual_Issue,1,0.0
Store Organization_Issue,1,0.0
Product Flaw_Issue,1,0.0
Product Value_Issue,1,0.0
Stock Availability_Issue,1,0.0
Shopping Experience_Issue,1,0.0
Product_Color_Issue,1,0.0
Product_Damage_Issue,1,0.0
Product_Defect_Issue,1,0.0
Product_Durability_Issue,1,0.0
Product_Functionality_Issue,1,0.0
Product_Incomplete_Issue,1,0.0
Product_Issue_Issue,1,0.0
Product Not Received_Issue,1,0.0
Product_Quantity_Issue,1,0.0
Recommendation_Issue,1,0.0
Product Manual_Issue,1,0.0
Remote Control_Issue,1,0.0
Reshipment_Issue,1,0.0
Safety_Issue,1,0.0
Product Variety_Issue,1,0.0
Product Finish_Issue,1,0.0
Access_Issue,1,0.0
Product Expiry_Issue,1,0.0
Delivery Tracking_Issue,1,0.0
Information_Issue,1,0.0
Fit_Issue,1,0.0
Documentation_Issue,1,0.0
Design_Issue,1,0.0
Delivery_Slow_Issue,1,0.0
Delivery_Praise_Product Quality_Issue,1,0.0
Delivery_Praise_Product Features_Issue,1,0.0
Delivery_Praise_Product Condition_Issue,1,0.0
Delivery_Issue_Quality_Issue,1,0.0
Delivery_Issue_Customer Service_Issue,1,0.0
Delivery Urgency_Issue,1,0.0
Delivery Time_Issue,1,0.0
Instruction Missing_Issue,1,0.0
Delivery Process_Issue,1,0.0
Delivery Notification_Issue,1,0.0
Delivery Information_Issue,1,0.0
Delivery Delay_Issue,1,0.0
Customer Loyalty_Issue,1,0.0
Configuration_Issue,1,0.0
Brand_Issue,1,0.0
Billing_Issue,1,0.0
Battery_Issue,1,0.0
Availability_Issue,1,0.0
Authenticity_Issue,1,0.0
Installation_Issue,1,0.0
Issue,1,0.0
Product Dislike_Issue,1,0.0
Order_Issue_Customer Service_Issue,1,0.0
Product Deception_Issue,1,0.0
Product Comfort_Issue,1,0.0
Product Capacity_Issue,1,0.0
Product Battery_Issue,1,0.0
Accessories_Issue,1,0.0
Product Accuracy_Issue,1,0.0
Postal Service_Issue,1,0.0
Payment_Issue,1,0.0
Packaging_Issue_Delivery_Issue,1,0.0
Order_Status_Issue,1,0.0
Order_Issue_Issue,1,0.0
Order_Incomplete_Issue,1,0.0
Labeling_Issue,1,0.0
Order Mix-Up_Issue,1,0.0
Order Missing_Issue,1,0.0
Order Management_Issue,1,0.0
Order Incompleteness_Issue,1,0.0
Order Error_Issue,1,0.0
Order Accuracy_Issue,1,0.0
Missing Parts_Issue,1,0.0
Missing Part_Issue,1,0.0
Missing Item_Issue,1,0.0
Material Mismatch_Issue,1,0.0
Manual Language_Issue,1,0.0
Wrong Product_Issue,1,0.0
