category,count,percentage
Delivery_Praise,1053,0.44
Product Quality_Praise,342,0.14
Product_Praise,295,0.12
Product Satisfaction_Praise,70,0.03
Service_Praise,63,0.03
Customer Service_Praise,63,0.03
Quality_Praise,63,0.03
Praise,35,0.01
Product Recommendation_Praise,33,0.01
Store_Praise,30,0.01
Recommendation_Praise,17,0.01
Purchase_Praise,16,0.01
Satisfaction_Praise,16,0.01
Overall Satisfaction_Praise,14,0.01
Seller_Praise,14,0.01
Performance_Praise,13,0.01
Packaging_Praise,13,0.01
Product Performance_Praise,9,0.0
Delivery_Praise_Product Quality_Praise,9,0.0
Customer Loyalty_Praise,9,0.0
Shopping Experience_Praise,9,0.0
Product_Praise_Delivery_Praise,7,0.0
Store Recommendation_Praise,7,0.0
Value_Praise,6,0.0
Customer Satisfaction_Praise,6,0.0
Purchase Experience_Praise,6,0.0
Product Accuracy_Praise,5,0.0
Overall_Praise,5,0.0
Store Quality_Praise,5,0.0
Delivery_Praise_Product_Praise,4,0.0
Product Value_Praise,4,0.0
Overall Experience_Praise,4,0.0
Product Match_Praise,4,0.0
Trust_Praise,3,0.0
Product Delivery_Praise,3,0.0
Product Condition_Praise,3,0.0
Value for Money_Praise,3,0.0
Service Quality_Praise,3,0.0
Pricing_Praise,3,0.0
Product_Quality_Praise,3,0.0
Transaction_Praise,3,0.0
Shipping_Praise,3,0.0
Price_Praise,3,0.0
Trustworthiness_Praise,2,0.0
Purchase Satisfaction_Praise,2,0.0
Reliability_Praise,2,0.0
Product Expectation_Praise,2,0.0
Product Quality_Praise_Delivery_Praise,2,0.0
Service Recommendation_Praise,2,0.0
Service_Praise_Delivery_Praise,2,0.0
Store Experience_Praise,2,0.0
Brand Loyalty_Praise,2,0.0
Website_Praise,2,0.0
Expectation_Met_Praise,2,0.0
Fit_Praise,2,0.0
Customer Recommendation_Praise,2,0.0
Logistics_Praise,2,0.0
Overall_Satisfaction_Praise,2,0.0
Product Aesthetic_Praise,2,0.0
Customer Experience_Praise,2,0.0
Delivery_Praise_Quality_Praise,2,0.0
Fulfillment_Praise,2,0.0
Product Description_Praise,2,0.0
Company Reputation_Praise,2,0.0
Communication_Praise,2,0.0
Comfort_Praise,2,0.0
Brand Trust_Praise,2,0.0
Order Accuracy_Praise,2,0.0
Seller Service_Praise,1,0.0
Seller Reputation_Praise,1,0.0
Enjoyment_Praise,1,0.0
Seller Reliability_Praise,1,0.0
Delivery_Time_Praise,1,0.0
Delivery_Resolution_Praise,1,0.0
Service Satisfaction_Praise,1,0.0
Delivery_Praise_Service_Praise,1,0.0
Store Loyalty_Praise,1,0.0
Delivery_Issue_Product Quality_Praise,1,0.0
Delivery_Issue_Delivery_Praise,1,0.0
Site_Praise,1,0.0
Delivery and Pricing_Praise,1,0.0
Seller Quality_Praise,1,0.0
Deal_Praise,1,0.0
Store Reliability_Praise,1,0.0
Store Satisfaction_Praise,1,0.0
Supplier_Praise,1,0.0
Tracking_Praise,1,0.0
Cost-Benefit_Praise,1,0.0
Usability_Praise,1,0.0
Warranty Satisfaction_Praise,1,0.0
Seller Recommendation_Praise,1,0.0
Product Exceeded Expectations_Praise,1,0.0
Expectation Met_Praise,1,0.0
Product Suitability_Praise,1,0.0
Product Experience_Praise,1,0.0
Product Functionality_Praise,1,0.0
Product Interest_Praise,1,0.0
Product Love_Praise,1,0.0
Product Loyalty_Praise,1,0.0
Product Efficiency_Praise,1,0.0
Product Purchase_Praise,1,0.0
Product Appearance_Praise,1,0.0
Product Aesthetics_Praise,1,0.0
Product Received_Praise,1,0.0
Product Replacement_Praise,1,0.0
Product Satisfaction_Praise_Delivery_Praise,1,0.0
Product Size_Praise,1,0.0
Product Surprise_Praise,1,0.0
Return_Praise,1,0.0
Product Upgrade_Praise,1,0.0
Order Satisfaction_Praise,1,0.0
Product_Aesthetic_Praise,1,0.0
Product_Issue_Delivery_Praise,1,0.0
Order Fulfillment_Praise,1,0.0
Material_Praise,1,0.0
Punctuality_Praise,1,0.0
Material Quality_Praise,1,0.0
Purchase Process_Praise,1,0.0
General Satisfaction_Praise,1,0.0
Quality_Praise_Delivery_Praise,1,0.0
Product Enjoyment_Praise,1,0.0
Repurchase_Praise,1,0.0
Aesthetic_Praise,1,0.0
