category,count,percentage
Delivery_Praise,1743,0.21
Delivery_Issue,1473,0.18
Unclassifiable,765,0.09
Product Quality_Praise,596,0.07
Product_Praise,461,0.06
Product Mismatch_Issue,408,0.05
Product Quality_Issue,261,0.03
Service_Praise,118,0.01
Quality_Praise,115,0.01
Product Satisfaction_Praise,106,0.01
Customer Service_Issue,103,0.01
Customer Service_Praise,102,0.01
Order_Issue,74,0.01
Packaging_Issue,64,0.01
Product_Issue,57,0.01
Product Defect_Issue,55,0.01
Praise,46,0.01
Quality_Issue,46,0.01
Product Size_Issue,42,0.01
Order Fulfillment_Issue,41,0.01
Product Authenticity_Issue,38,0.0
Product Damage_Issue,38,0.0
Satisfaction_Praise,34,0.0
Performance_Praise,34,0.0
Recommendation_Praise,33,0.0
Product Condition_Issue,31,0.0
Product Recommendation_Praise,31,0.0
Product Performance_Praise,29,0.0
Store_Praise,25,0.0
Shopping Experience_Praise,23,0.0
Order Incomplete_Issue,21,0.0
Refund_Issue,19,0.0
Product Performance_Issue,19,0.0
Value_Praise,18,0.0
Shipping Cost_Issue,18,0.0
Product Missing_Issue,17,0.0
Invoice_Issue,17,0.0
Overall Satisfaction_Praise,17,0.0
Product Condition_Praise,16,0.0
Shipping_Issue,16,0.0
Seller_Praise,15,0.0
Product Expectation_Issue,15,0.0
Product Quality_Praise_Delivery_Praise,14,0.0
Order Cancellation_Issue,14,0.0
Store Recommendation_Praise,13,0.0
Return_Issue,13,0.0
Delivery_Praise_Product Quality_Praise,13,0.0
Customer Satisfaction_Praise,13,0.0
Product Malfunction_Issue,13,0.0
Product_Praise_Delivery_Praise,12,0.0
Service_Issue,12,0.0
Product Delivery_Praise,11,0.0
Product Compatibility_Issue,11,0.0
Customer Loyalty_Praise,11,0.0
Product Description_Issue,11,0.0
Cancellation_Issue,10,0.0
Delivery_Delay_Issue,10,0.0
Product Accuracy_Praise,10,0.0
Packaging_Praise,10,0.0
Material_Issue,9,0.0
Delivery_Time_Issue,9,0.0
Product Color_Issue,9,0.0
Purchase Experience_Praise,9,0.0
Overall Experience_Praise,9,0.0
Product Specification_Issue,9,0.0
Delivery_Others,8,0.0
Purchase_Praise,8,0.0
Trust_Praise,8,0.0
Product Incomplete_Issue,8,0.0
Product Functionality_Issue,7,0.0
Communication_Issue,7,0.0
Product Information_Issue,7,0.0
Product_Quality_Issue,7,0.0
Product Design_Issue,7,0.0
Product Appearance_Praise,7,0.0
Product Match_Praise,6,0.0
Order Mismatch_Issue,6,0.0
Stock_Issue,6,0.0
Shipping Fee_Issue,6,0.0
Product_Mismatch_Issue,6,0.0
Customer Experience_Praise,6,0.0
Payment_Issue,5,0.0
Functionality_Issue,5,0.0
Product Expectation_Praise,5,0.0
Price_Praise,5,0.0
Purchase Satisfaction_Praise,5,0.0
Store Reliability_Praise,5,0.0
Order Processing_Issue,5,0.0
Order Error_Issue,5,0.0
Size_Issue,5,0.0
Product Quality_Others,5,0.0
Product Value_Praise,5,0.0
Store_Issue,5,0.0
Product Counterfeit_Issue,5,0.0
Performance_Issue,4,0.0
Pricing_Issue,4,0.0
Cost-Benefit_Praise,4,0.0
Order Inaccuracy_Issue,4,0.0
Product Availability_Issue,4,0.0
Value for Money_Praise,4,0.0
Loyalty_Praise,4,0.0
Product Completeness_Issue,4,0.0
Product Description_Others,4,0.0
Shipping_Praise,4,0.0
Delivery_Praise_Product_Praise,4,0.0
Store Experience_Praise,4,0.0
Product Fit_Praise,3,0.0
Agreement_Praise,3,0.0
Missing Item_Issue,3,0.0
Availability_Issue,3,0.0
Product Packaging_Issue,3,0.0
Product_Condition_Issue,3,0.0
Product Function_Issue,3,0.0
Purchase_Issue,3,0.0
Product Fragility_Issue,3,0.0
