category,count,percentage
Delivery_Issue,1473,0.44
Product Mismatch_Issue,408,0.12
Product Quality_Issue,261,0.08
Customer Service_Issue,103,0.03
Order_Issue,74,0.02
Packaging_Issue,64,0.02
Product_Issue,57,0.02
Product Defect_Issue,55,0.02
Quality_Issue,46,0.01
Product Size_Issue,42,0.01
Order Fulfillment_Issue,41,0.01
Product Authenticity_Issue,38,0.01
Product Damage_Issue,38,0.01
Product Condition_Issue,31,0.01
Order Incomplete_Issue,21,0.01
Product Performance_Issue,19,0.01
Refund_Issue,19,0.01
Shipping Cost_Issue,18,0.01
Product Missing_Issue,17,0.01
Invoice_Issue,17,0.01
Shipping_Issue,16,0.0
Product Expectation_Issue,15,0.0
Order Cancellation_Issue,14,0.0
Return_Issue,13,0.0
Product Malfunction_Issue,13,0.0
Service_Issue,12,0.0
Product Description_Issue,11,0.0
Product Compatibility_Issue,11,0.0
Delivery_Delay_Issue,10,0.0
Cancellation_Issue,10,0.0
Material_Issue,9,0.0
Product Specification_Issue,9,0.0
Product Color_Issue,9,0.0
Delivery_Time_Issue,9,0.0
Product Incomplete_Issue,8,0.0
Product_Quality_Issue,7,0.0
Product Functionality_Issue,7,0.0
Communication_Issue,7,0.0
Product Design_Issue,7,0.0
Product Information_Issue,7,0.0
Stock_Issue,6,0.0
Shipping Fee_Issue,6,0.0
Product_Mismatch_Issue,6,0.0
Order Mismatch_Issue,6,0.0
Order Error_Issue,5,0.0
Functionality_Issue,5,0.0
Size_Issue,5,0.0
Product Counterfeit_Issue,5,0.0
Store_Issue,5,0.0
Order Processing_Issue,5,0.0
Payment_Issue,5,0.0
Performance_Issue,4,0.0
Product Availability_Issue,4,0.0
Order Inaccuracy_Issue,4,0.0
Product Completeness_Issue,4,0.0
Pricing_Issue,4,0.0
Delivery Delay_Issue,3,0.0
Product_Condition_Issue,3,0.0
Product Function_Issue,3,0.0
Missing Item_Issue,3,0.0
Delivery Time_Issue,3,0.0
Material Quality_Issue,3,0.0
Product Packaging_Issue,3,0.0
Product Fragility_Issue,3,0.0
Availability_Issue,3,0.0
Product Comfort_Issue,3,0.0
Purchase_Issue,3,0.0
Delivery_Issue_Customer Service_Issue,3,0.0
Product Expiration_Issue,3,0.0
Exchange_Issue,3,0.0
Product_Functionality_Issue,3,0.0
Product Exchange_Issue,3,0.0
Product Durability_Issue,3,0.0
Product Color Mismatch_Issue,3,0.0
Product_Authenticity_Issue,2,0.0
Product Presentation_Issue,2,0.0
Battery_Issue,2,0.0
Warranty_Issue,2,0.0
Postal Service_Issue,2,0.0
Price_Issue,2,0.0
Product Assembly_Issue,2,0.0
Product Recognition_Issue,2,0.0
Product Misrepresentation_Issue,2,0.0
Order Quantity_Issue,2,0.0
Product Delivery_Issue,2,0.0
Product Manual_Issue,2,0.0
Product Fit_Issue,2,0.0
Product Incompleteness_Issue,2,0.0
Assembly_Issue,2,0.0
Color_Issue,2,0.0
Delivery_Mismatch_Issue,2,0.0
Delivery_Praise_Quality_Issue,2,0.0
Missing Accessories_Issue,2,0.0
Product_Issue_Issue,2,0.0
Comfort_Issue,2,0.0
Delivery_Incomplete_Issue,2,0.0
Instructions_Issue,2,0.0
Color Mismatch_Issue,2,0.0
Delivery_Timing_Issue,2,0.0
Counterfeit_Issue,2,0.0
Support_Issue,2,0.0
Delivery_Issue_Issue,2,0.0
Logistics_Issue,2,0.0
Product Space_Issue,1,0.0
Shipping Delay_Issue,1,0.0
Product Swap_Issue,1,0.0
Shipping Misleading_Issue,1,0.0
Shipping Policy_Issue,1,0.0
Shipping Charge_Issue,1,0.0
Shipping Process_Issue,1,0.0
Shipping_Cost_Issue,1,0.0
Product Safety_Issue,1,0.0
Size_Mismatch_Issue,1,0.0
Product Setup_Issue,1,0.0
Seller_Issue,1,0.0
Product Resistance_Issue,1,0.0
Product Replica_Issue,1,0.0
Usability_Issue,1,0.0
Store Recommendation_Issue,1,0.0
Website_Issue,1,0.0
Supplier Management_Issue,1,0.0
Product Recommendation_Issue,1,0.0
Supplier_Issue,1,0.0
System_Issue,1,0.0
Trust_Issue,1,0.0
Product Quantity_Issue,1,0.0
Shelf Life_Issue,1,0.0
Product_Durability_Issue,1,0.0
