category,count,percentage
Delivery_Praise,1743,0.44
Product Quality_Praise,596,0.15
Product_Praise,461,0.12
Service_Praise,118,0.03
Quality_Praise,115,0.03
Product Satisfaction_Praise,106,0.03
Customer Service_Praise,102,0.03
Praise,46,0.01
Satisfaction_Praise,34,0.01
Performance_Praise,34,0.01
Recommendation_Praise,33,0.01
Product Recommendation_Praise,31,0.01
Product Performance_Praise,29,0.01
Store_Praise,25,0.01
Shopping Experience_Praise,23,0.01
Value_Praise,18,0.0
Overall Satisfaction_Praise,17,0.0
Product Condition_Praise,16,0.0
Seller_Praise,15,0.0
Product Quality_Praise_Delivery_Praise,14,0.0
Store Recommendation_Praise,13,0.0
Customer Satisfaction_Praise,13,0.0
Delivery_Praise_Product Quality_Praise,13,0.0
Product_Praise_Delivery_Praise,12,0.0
Customer Loyalty_Praise,11,0.0
Product Delivery_Praise,11,0.0
Product Accuracy_Praise,10,0.0
Packaging_Praise,10,0.0
Overall Experience_Praise,9,0.0
Purchase Experience_Praise,9,0.0
Trust_Praise,8,0.0
Purchase_Praise,8,0.0
Product Appearance_Praise,7,0.0
Product Match_Praise,6,0.0
Customer Experience_Praise,6,0.0
Product Value_Praise,5,0.0
Price_Praise,5,0.0
Store Reliability_Praise,5,0.0
Purchase Satisfaction_Praise,5,0.0
Product Expectation_Praise,5,0.0
Value for Money_Praise,4,0.0
Loyalty_Praise,4,0.0
Store Experience_Praise,4,0.0
Cost-Benefit_Praise,4,0.0
Delivery_Praise_Product_Praise,4,0.0
Shipping_Praise,4,0.0
Agreement_Praise,3,0.0
Product Comfort_Praise,3,0.0
Product Fit_Praise,3,0.0
Efficiency_Praise,3,0.0
Store Quality_Praise,3,0.0
Reliability_Praise,3,0.0
Company_Praise,3,0.0
Product Description_Praise,3,0.0
Purchase_Satisfaction_Praise,2,0.0
Purchase Process_Praise,2,0.0
Seller Recommendation_Praise,2,0.0
Seller Service_Praise,2,0.0
Service Quality_Praise,2,0.0
Product_Quality_Praise,2,0.0
Store Rating_Praise,2,0.0
Product Features_Praise,2,0.0
Product Feature_Praise,2,0.0
Punctuality_Praise,2,0.0
Supplier_Praise,2,0.0
Trustworthiness_Praise,2,0.0
Product Design_Praise,2,0.0
Usability_Praise,2,0.0
Product Utility_Praise,2,0.0
Website_Praise,2,0.0
Order Fulfillment_Praise,2,0.0
Expectation Met_Praise,2,0.0
Delivery_Praise_Quality_Praise,2,0.0
Product Authenticity_Praise,2,0.0
Delivery_Early_Praise,2,0.0
Product Aesthetics_Praise,2,0.0
Pricing_Praise,2,0.0
General_Praise,2,0.0
Brand Loyalty_Praise,2,0.0
Overall_Praise,2,0.0
Site_Praise,1,0.0
Size_Praise,1,0.0
Product Defect_Issue_Delivery_Praise,1,0.0
Store Efficiency_Praise,1,0.0
Site Recommendation_Praise,1,0.0
Customer Service_Praise_Delivery_Praise,1,0.0
Customer Support_Praise,1,0.0
Service_Satisfaction_Praise,1,0.0
Shopping_Praise,1,0.0
Customer Trust_Praise,1,0.0
Customer_Service_Praise,1,0.0
Condition_Praise,1,0.0
Delivery Commitment_Praise,1,0.0
Delivery Reliability_Praise,1,0.0
Delivery Service_Praise,1,0.0
Customer Recommendation_Praise,1,0.0
Store Satisfaction_Praise,1,0.0
Company Reputation_Praise,1,0.0
Comfort_Praise,1,0.0
Website Service_Praise,1,0.0
Website Security_Praise,1,0.0
Website Quality_Praise,1,0.0
Website Experience_Praise,1,0.0
App_Praise,1,0.0
Usage_Praise,1,0.0
Buying Process_Praise,1,0.0
Communication_Praise,1,0.0
Store Reputation_Praise,1,0.0
Transaction_Praise,1,0.0
Company Quality_Praise,1,0.0
Store_Reliability_Praise,1,0.0
Store_Recommendation_Praise,1,0.0
Company Reliability_Praise,1,0.0
Store Trust_Praise,1,0.0
Delivery_Issue_Product_Praise,1,0.0
Seller Reputation_Praise,1,0.0
Design_Praise,1,0.0
Security_Praise,1,0.0
Product and Delivery_Praise,1,0.0
Product Variety_Praise,1,0.0
Product Variation_Praise,1,0.0
Order Accuracy_Praise,1,0.0
Product Use_Praise,1,0.0
Product Usability_Praise,1,0.0
Product Size_Praise,1,0.0
Order Process_Praise,1,0.0
Order Timeliness_Praise,1,0.0
Overall Service_Praise,1,0.0
Product Purchase_Praise,1,0.0
Packaging_Praise_Delivery_Praise,1,0.0
Platform_Praise,1,0.0
Product Aesthetic_Praise,1,0.0
Product Expectations_Praise,1,0.0
Product Exchange_Praise,1,0.0
Product Versatility_Praise,1,0.0
Product and Service_Praise,1,0.0
Delivery_Praise_Shopping Experience_Praise,1,0.0
Product_Delivery_Praise,1,0.0
Product Compatibility_Praise,1,0.0
Quality_Praise_Delivery_Praise,1,0.0
Early Delivery_Praise,1,0.0
Purchase_Process_Praise,1,0.0
Expectation_Meet_Praise,1,0.0
Expectation_Met_Praise,1,0.0
Fabric Quality_Issue_Delivery_Praise,1,0.0
First Purchase Satisfaction_Praise,1,0.0
Fulfillment_Praise,1,0.0
Product_Satisfaction_Praise,1,0.0
Product_Purchase_Praise,1,0.0
Product_Praise_Service_Praise,1,0.0
Information_Praise,1,0.0
Material Quality_Praise,1,0.0
Product_Match_Praise,1,0.0
Aesthetic_Praise,1,0.0
