product_category_name_english,order_estimated_delivery_span_hours_from_purchase,order_delivered_carrier_span_hours_from_purchase,order_delivered_customer_span_hours_from_purchase,distance_bin_Bin 1,distance_bin_Bin 2,distance_bin_Bin 3,distance_bin_Bin 4,distance_bin_Bin 5,modified_review_score,distance_between_customer_and_seller
agro_industry_and_commerce,652.2526587301587,33.64234126984127,195.43353174603175,1,2,3,1,0,4.571428571428571,366.1344252545286
air_conditioning,667.3768055555556,121.82855158730159,271.40853174603177,4,2,3,5,0,4.714285714285714,376.37013307910337
art,481.0092592592593,57.81315656565657,133.64676767676767,8,2,0,1,0,4.75,139.63590287903037
arts_and_craftmanship,241.85194444444446,58.060277777777785,111.57881944444445,3,1,0,0,0,4.75,85.71380749449236
audio,489.55047777777776,65.4641,162.5066111111111,10,11,1,3,0,4.92,239.18804883884982
auto,444.38367372495446,54.66098816029144,165.60746913580246,131,61,35,10,6,4.774590163934426,210.3127745106707
baby,478.86328596037896,60.91448350694444,180.33340060763888,40,45,28,10,5,4.782945736434108,293.70502527950543
bed_bath_table,499.5278012265513,60.9030808080808,210.41930796055794,99,231,60,69,1,4.725108225108225,295.90596734022745
books_general_interest,477.8219270833333,73.89920138888888,214.82388020833332,11,10,7,3,1,4.9375,294.60608961439766
books_imported,288.130462962963,42.284814814814816,68.94824074074074,3,0,0,0,0,4.666666666666667,67.79191292991638
books_technical,416.01560763888887,43.829236111111115,146.09309027777778,7,6,3,0,0,4.8125,208.7137626397545
cds_dvds_musicals,576.2852777777778,51.28069444444444,326.7951388888889,1,1,0,0,0,3.5,162.18181822238776
christmas_supplies,612.3383333333333,55.19083333333333,112.37722222222222,1,1,1,0,0,5.0,210.99805830195524
cine_photo,288.20824074074073,37.26851851851852,73.35472222222222,2,1,0,0,0,5.0,89.25170552531114
computers,513.7261419753087,61.01398148148149,236.14623456790125,1,0,1,1,6,4.777777777777778,1073.3110515856267
computers_accessories,537.2705974687706,73.32584976988824,224.9449745233399,98,63,88,57,32,4.8076923076923075,464.91194971804066
consoles_games,533.6860169491525,81.78036723163842,219.8473540489642,16,7,16,16,4,4.813559322033898,411.42556726429984
construction_tools_construction,475.0434929078014,51.88819739952718,172.98532505910165,27,9,8,3,0,4.74468085106383,199.9982957212287
construction_tools_lights,335.84886363636366,71.76570707070708,114.71593434343434,10,0,0,0,1,4.818181818181818,152.52594090485206
construction_tools_safety,337.87065972222223,64.52364583333333,118.82756944444445,5,3,0,0,0,4.875,144.97327131085166
cool_stuff,495.61195269526957,58.525122387238724,182.52225797579757,87,43,35,26,6,4.821782178217822,290.4714424852604
costruction_tools_garden,560.86,42.728368055555556,188.20090277777777,1,2,3,2,0,4.875,424.5089746900288
costruction_tools_tools,595.9580982905983,64.75512820512822,278.0486324786325,1,6,2,3,0,5.0,368.90927425958307
diapers_and_hygiene,275.9147222222222,77.63138888888889,173.95888888888888,0,1,0,0,0,5.0,297.12966777225967
