review_categories_str_modified,review_id
Delivery_Praise,9461
Delivery_Issue,6558
Unclassifiable,3859
Product Quality_Praise,2962
Product_Praise,2334
Product Mismatch_Issue,1678
Product Quality_Issue,1092
Product Satisfaction_Praise,607
Service_Praise,606
Quality_Praise,572
Customer Service_Praise,551
Customer Service_Issue,452
Product Damage_Issue,293
Order_Issue,290
Product Defect_Issue,289
Praise,276
Product_Issue,275
Packaging_Issue,274
Order Fulfillment_Issue,230
Product Recommendation_Praise,215
Product Condition_Issue,187
Satisfaction_Praise,182
Store_Praise,179
Product Size_Issue,174
Quality_Issue,168
Recommendation_Praise,156
Product Performance_Praise,138
Performance_Praise,138
Order Cancellation_Issue,122
Shipping Cost_Issue,120
Shipping_Issue,116
Overall Satisfaction_Praise,108
Product Authenticity_Issue,106
Refund_Issue,105
Seller_Praise,103
Order Incomplete_Issue,103
Packaging_Praise,97
Product Performance_Issue,96
Product Missing_Issue,90
Shopping Experience_Praise,85
Invoice_Issue,84
Store Recommendation_Praise,81
Customer Loyalty_Praise,81
Delivery_Praise_Product Quality_Praise,78
Delivery_Others,76
Purchase_Praise,75
Value_Praise,73
Product_Praise_Delivery_Praise,69
Stock_Issue,66
Product Condition_Praise,64
Product Quality_Praise_Delivery_Praise,62
Purchase Experience_Praise,62
Product Accuracy_Praise,59
Product Malfunction_Issue,59
Service_Issue,57
Product Expectation_Issue,55
Customer Satisfaction_Praise,54
Product Incomplete_Issue,52
Product Description_Issue,52
Product Compatibility_Issue,52
Communication_Issue,51
Product Functionality_Issue,48
Product Color_Issue,45
Customer Experience_Praise,45
Return_Issue,45
Product Fit_Issue,44
Product Quality_Others,42
Product Design_Issue,42
Overall Experience_Praise,38
Product Match_Praise,38
Performance_Issue,37
Pricing_Issue,36
Product Information_Issue,35
Product Availability_Issue,35
Product_Mismatch_Issue,35
Product Delivery_Praise,35
Size_Issue,34
Trust_Praise,34
Product Specification_Issue,34
Others,33
Delivery_Praise_Product_Praise,33
Material_Issue,33
Order Mismatch_Issue,32
Assembly_Issue,32
Cancellation_Issue,30
Product Value_Praise,30
Purchase Satisfaction_Praise,29
Product_Quality_Issue,28
Price_Praise,27
Availability_Issue,26
Exchange_Issue,25
Delivery_Delay_Issue,25
Shipping_Cost_Issue,24
Tracking_Issue,24
Delivery_Time_Issue,24
Overall_Praise,24
Order Processing_Issue,23
Payment_Issue,22
Service Quality_Praise,22
Product Exchange_Issue,22
Functionality_Issue,20
Order Inaccuracy_Issue,19
Store Experience_Praise,18
Missing Item_Issue,18
Product Expectation_Praise,17
Store Quality_Praise,17
Trustworthiness_Praise,17
Seller Recommendation_Praise,16
Product Appearance_Praise,16
Store Reliability_Praise,16
Order_Issue_Issue,16
Product_Quality_Praise,15
Product Description_Praise,14
Value for Money_Praise,14
Product Fit_Praise,14
Material Quality_Issue,14
Pricing_Praise,14
Transaction_Praise,14
Cost-Benefit_Praise,14
Compatibility_Issue,13
Product Counterfeit_Issue,13
Product_Issue_Issue,13
Color Mismatch_Issue,13
Shipping_Praise,13
Order_Incomplete_Issue,13
Delivery Delay_Issue,12
Product Description_Others,12
Missing Parts_Issue,12
Shipping Fee_Issue,12
Product Size_Others,12
Recommendation_Others,12
Product Incompleteness_Issue,12
Installation_Issue,12
Product Misrepresentation_Issue,11
Website_Praise,11
Delivery_Issue_Issue,11
Product Design_Praise,11
Delivery Time_Issue,11
Order Error_Issue,11
Product Color Mismatch_Issue,11
Reliability_Praise,10
Website_Issue,10
Efficiency_Praise,10
Purchase Process_Praise,10
Seller Service_Praise,10
Order Status_Issue,10
Supplier_Praise,10
Company Reputation_Praise,10
Billing_Issue,10
Loyalty_Praise,10
Delivery_Issue_Customer Service_Issue,10
Product Delivery_Issue,10
Store_Issue,10
Delivery_Praise_Quality_Praise,9
Product Function_Issue,9
Product Durability_Issue,9
Order Cancellation_Others,9
Incomplete Order_Issue,9
Order Fulfillment_Praise,9
Shipping Delay_Issue,9
Quality_Others,9
Store Reputation_Praise,9
Usability_Praise,9
Product Completeness_Issue,9
Material_Praise,8
Usability_Issue,8
Color_Issue,8
Purchase_Satisfaction_Praise,8
Fit_Issue,8
Logistics_Issue,8
Product Recommendation_Others,8
Instruction_Issue,8
Order_Cancellation_Issue,8
Product Mismatch_Others,8
Product Fragility_Issue,8
Company_Praise,7
Expectation_Met_Praise,7
Order Accuracy_Praise,7
Expectation Met_Praise,7
Product Error_Issue,7
Trust_Issue,7
Value_Issue,7
Documentation_Issue,7
Product Functionality_Praise,7
Pricing_Others,7
Product Voltage_Issue,7
Product Quantity_Issue,7
Price_Issue,7
Incomplete Delivery_Issue,7
Product Feature_Issue,7
Fulfillment_Praise,7
Comfort_Praise,7
Gift_Praise,7
General_Praise,7
Purchase_Issue,7
Product Value_Issue,6
Product Expectation_Others,6
Service_Praise_Delivery_Praise,6
Product Aesthetic_Praise,6
Durability_Issue,6
Product Efficiency_Praise,6
Order Process_Praise,6
Store Rating_Praise,6
Product Manual_Issue,6
Order Quantity_Issue,6
Order Mix-Up_Issue,6
Product Effectiveness_Praise,6
Material Quality_Praise,6
Information_Issue,6
Logistics_Praise,6
Exchange_Request,6
Product Satisfaction_Issue,6
Product Safety_Issue,6
Order_Fulfillment_Issue,6
Site_Praise,6
Brand Loyalty_Praise,6
Product Effectiveness_Issue,6
Misleading Advertising_Issue,6
Customer Trust_Praise,6
Delivery Inquiry_Others,6
Product_Condition_Issue,6
Packaging_Others,6
Return Process_Issue,6
Product_Defect_Issue,6
Product Expiration_Issue,6
Product Assembly_Issue,6
Quantity_Issue,6
Product Comfort_Issue,6
Supplier_Issue,5
Product Information_Others,5
Advertising_Issue,5
Product Inquiry_Others,5
Product_Fit_Issue,5
Fit_Praise,5
Product Feature_Praise,5
Stock Availability_Issue,5
Counterfeit_Issue,5
Order Incompleteness_Issue,5
Comfort_Issue,5
Quality_Praise_Delivery_Praise,5
Delivery_Inquiry,5
Instructions_Issue,5
Order Discrepancy_Issue,5
Store Recommendation_Issue,5
Pickup_Issue,5
Delivery_Concern,5
Condition_Praise,5
Product Condition_Others,5
Customer Service_Others,5
Overall_Satisfaction_Praise,5
Product Usability_Issue,5
Product Improvement_Others,5
Agreement_Praise,5
Service Efficiency_Praise,5
Safety_Issue,5
Product Packaging_Issue,4
Product Failure_Issue,4
Delivery_Request,4
Shipping Policy_Issue,4
Product Design_Others,4
Store_Reliability_Praise,4
Product Missing Part_Issue,4
Warranty_Issue,4
Postal Service_Issue,4
Partnership_Praise,4
Delivery_Praise_Product Quality_Issue,4
Product Authenticity_Praise,4
Seller Performance_Praise,4
Missing Accessories_Issue,4
Delivery_Incomplete_Issue,4
Order_Status_Issue,4
Product Performance_Others,4
Delivery_Slow_Issue,4
Color_Mismatch_Issue,4
Product_Match_Praise,4
Communication_Praise,4
Product Size_Praise,4
Product_Functionality_Issue,4
Website Experience_Praise,4
Product Comfort_Praise,4
Order Missing_Issue,4
Order Management_Issue,4
Shopping_Praise,4
Support_Issue,4
Product Improvement_Suggestion,4
Product_Damage_Issue,4
Delivery_Mismatch_Issue,4
Delivery Information_Issue,4
Security_Praise,4
Store Recommendation_Others,4
Battery_Issue,4
Product Utility_Praise,4
Product and Service_Praise,4
Product Dissatisfaction_Issue,4
Manual_Issue,4
Order Tracking_Issue,4
Design_Praise,4
Product Aesthetics_Praise,4
Product Suggestion_Others,4
Product Appearance_Issue,3
