category,count,percentage
Delivery_Praise,4869,0.23
Delivery_Issue,3805,0.18
Unclassifiable,1998,0.09
Product Quality_Praise,1533,0.07
Product_Praise,1181,0.05
Product Mismatch_Issue,932,0.04
Product Quality_Issue,584,0.03
Service_Praise,324,0.02
Product Satisfaction_Praise,310,0.01
Quality_Praise,291,0.01
Customer Service_Praise,278,0.01
Customer Service_Issue,260,0.01
Order_Issue,170,0.01
Product Damage_Issue,158,0.01
Product_Issue,150,0.01
Packaging_Issue,148,0.01
Product Defect_Issue,140,0.01
Order Fulfillment_Issue,137,0.01
Praise,134,0.01
Product Size_Issue,104,0.0
Product Recommendation_Praise,95,0.0
Satisfaction_Praise,94,0.0
Product Condition_Issue,92,0.0
Quality_Issue,91,0.0
Product Performance_Praise,87,0.0
Store_Praise,82,0.0
Performance_Praise,79,0.0
Recommendation_Praise,72,0.0
Product Authenticity_Issue,72,0.0
Shipping_Issue,68,0.0
Refund_Issue,54,0.0
Overall Satisfaction_Praise,52,0.0
Order Incomplete_Issue,52,0.0
Packaging_Praise,51,0.0
Product Missing_Issue,50,0.0
Order Cancellation_Issue,50,0.0
Shopping Experience_Praise,49,0.0
Shipping Cost_Issue,48,0.0
Product Performance_Issue,46,0.0
Seller_Praise,45,0.0
Value_Praise,44,0.0
Invoice_Issue,42,0.0
Delivery_Others,41,0.0
Store Recommendation_Praise,39,0.0
Delivery_Praise_Product Quality_Praise,39,0.0
Product_Praise_Delivery_Praise,37,0.0
Product Condition_Praise,36,0.0
Customer Loyalty_Praise,36,0.0
Product Quality_Praise_Delivery_Praise,34,0.0
Purchase Experience_Praise,31,0.0
Purchase_Praise,30,0.0
Product Accuracy_Praise,30,0.0
Product Compatibility_Issue,30,0.0
Product Description_Issue,29,0.0
Service_Issue,29,0.0
Communication_Issue,29,0.0
Return_Issue,28,0.0
Product Fit_Issue,28,0.0
Product Quality_Others,27,0.0
Product Color_Issue,26,0.0
Product Incomplete_Issue,26,0.0
Product Malfunction_Issue,25,0.0
Product Functionality_Issue,25,0.0
Stock_Issue,24,0.0
Product Delivery_Praise,24,0.0
Product Expectation_Issue,24,0.0
Overall Experience_Praise,24,0.0
Product Specification_Issue,23,0.0
Customer Satisfaction_Praise,23,0.0
Product Design_Issue,22,0.0
Product Match_Praise,21,0.0
Product Information_Issue,21,0.0
Product_Mismatch_Issue,20,0.0
Customer Experience_Praise,20,0.0
Delivery_Delay_Issue,18,0.0
Trust_Praise,18,0.0
Cancellation_Issue,18,0.0
Others,18,0.0
Delivery_Praise_Product_Praise,18,0.0
Delivery_Time_Issue,17,0.0
Assembly_Issue,17,0.0
Product_Quality_Issue,17,0.0
Size_Issue,17,0.0
Order Mismatch_Issue,17,0.0
Pricing_Issue,16,0.0
Material_Issue,16,0.0
Exchange_Issue,15,0.0
Purchase Satisfaction_Praise,15,0.0
Performance_Issue,15,0.0
Missing Item_Issue,14,0.0
Product Value_Praise,13,0.0
Tracking_Issue,13,0.0
Order Processing_Issue,13,0.0
Price_Praise,12,0.0
Cost-Benefit_Praise,11,0.0
Service Quality_Praise,11,0.0
Product Counterfeit_Issue,11,0.0
Shipping_Cost_Issue,11,0.0
Product Appearance_Praise,11,0.0
Product Availability_Issue,11,0.0
Order Inaccuracy_Issue,11,0.0
Product Fit_Praise,10,0.0
Value for Money_Praise,10,0.0
Functionality_Issue,10,0.0
Store Experience_Praise,9,0.0
Payment_Issue,9,0.0
Product Exchange_Issue,9,0.0
Shipping Fee_Issue,9,0.0
Order_Issue_Issue,8,0.0
Store Reputation_Praise,8,0.0
Trustworthiness_Praise,8,0.0
Product Completeness_Issue,8,0.0
Product Expectation_Praise,8,0.0
Delivery_Issue_Issue,8,0.0
Overall_Praise,8,0.0
Efficiency_Praise,8,0.0
Product Description_Praise,8,0.0
Material Quality_Issue,8,0.0
Store_Issue,8,0.0
Purchase Process_Praise,8,0.0
Product_Quality_Praise,7,0.0
Store Reliability_Praise,7,0.0
Incomplete Order_Issue,7,0.0
Shipping_Praise,7,0.0
Store Quality_Praise,7,0.0
Color Mismatch_Issue,7,0.0
Supplier_Praise,7,0.0
Order Error_Issue,7,0.0
Loyalty_Praise,7,0.0
Availability_Issue,7,0.0
Reliability_Praise,7,0.0
Product Durability_Issue,7,0.0
Product Design_Praise,7,0.0
Delivery_Issue_Customer Service_Issue,7,0.0
Website_Praise,7,0.0
Installation_Issue,7,0.0
Order Fulfillment_Praise,6,0.0
Product Recommendation_Others,6,0.0
Purchase_Satisfaction_Praise,6,0.0
Delivery Time_Issue,6,0.0
Product Misrepresentation_Issue,6,0.0
Delivery Delay_Issue,6,0.0
Pricing_Praise,6,0.0
Product Description_Others,6,0.0
Transaction_Praise,6,0.0
Company_Praise,6,0.0
Billing_Issue,6,0.0
Product Voltage_Issue,6,0.0
Color_Issue,6,0.0
Product Color Mismatch_Issue,6,0.0
Product Incompleteness_Issue,6,0.0
Product_Issue_Issue,6,0.0
Missing Parts_Issue,6,0.0
Product Functionality_Praise,5,0.0
Website_Issue,5,0.0
Purchase_Issue,5,0.0
Expectation Met_Praise,5,0.0
Fit_Issue,5,0.0
Product Fragility_Issue,5,0.0
Product Delivery_Issue,5,0.0
Order Status_Issue,5,0.0
Product Effectiveness_Praise,5,0.0
Value_Issue,5,0.0
Instruction_Issue,5,0.0
Store Rating_Praise,5,0.0
Compatibility_Issue,5,0.0
Logistics_Issue,5,0.0
Recommendation_Others,5,0.0
Product Expiration_Issue,5,0.0
Shipping Delay_Issue,5,0.0
Product Condition_Others,4,0.0
Seller Recommendation_Praise,4,0.0
Product Assembly_Issue,4,0.0
Material_Praise,4,0.0
Seller Service_Praise,4,0.0
Pickup_Issue,4,0.0
Product Size_Others,4,0.0
Incomplete Delivery_Issue,4,0.0
Product Comfort_Issue,4,0.0
Order_Incomplete_Issue,4,0.0
Quality_Others,4,0.0
Price_Issue,4,0.0
Order Quantity_Issue,4,0.0
Condition_Praise,4,0.0
Product Function_Issue,4,0.0
Product Quantity_Issue,4,0.0
Delivery Inquiry_Others,4,0.0
Usability_Issue,4,0.0
Product Packaging_Issue,4,0.0
Product Feature_Praise,4,0.0
Delivery_Request,4,0.0
Usability_Praise,4,0.0
Customer Service_Others,4,0.0
Product_Condition_Issue,4,0.0
Brand Loyalty_Praise,4,0.0
Delivery_Incomplete_Issue,4,0.0
Product_Match_Praise,4,0.0
Product Aesthetics_Praise,3,0.0
Product Aesthetic_Praise,3,0.0
Product_Functionality_Issue,3,0.0
Delivery_Concern,3,0.0
Return Process_Issue,3,0.0
Product Utility_Praise,3,0.0
Safety_Issue,3,0.0
Order Cancellation_Others,3,0.0
Misleading Advertising_Issue,3,0.0
Product Information_Others,3,0.0
Order Discrepancy_Issue,3,0.0
Expectation_Met_Praise,3,0.0
Delivery Status_Issue,3,0.0
Order Incompleteness_Issue,3,0.0
Product_Defect_Issue,3,0.0
Order Process_Praise,3,0.0
Customer Trust_Praise,3,0.0
Product Performance_Others,3,0.0
Product Recommendation_Issue,3,0.0
Agreement_Praise,3,0.0
Comfort_Issue,3,0.0
Order_Fulfillment_Issue,3,0.0
Product_Authenticity_Issue,3,0.0
Partial Delivery_Issue,3,0.0
Quantity_Issue,3,0.0
Condition_Issue,3,0.0
Counterfeit_Issue,3,0.0
Product Mismatch_Others,3,0.0
Product Wrong Delivery_Issue,3,0.0
Packaging_Others,3,0.0
General_Praise,3,0.0
Product Safety_Issue,3,0.0
Durability_Issue,3,0.0
Product Effectiveness_Issue,3,0.0
Instructions_Issue,3,0.0
Product Error_Issue,3,0.0
Product Failure_Issue,3,0.0
Product Comfort_Praise,3,0.0
Service Efficiency_Praise,3,0.0
Information_Issue,3,0.0
Product_Missing_Issue,3,0.0
Delivery_Praise_Quality_Praise,3,0.0
Delivery_Mismatch_Issue,3,0.0
Product and Service_Praise,3,0.0
Product Authenticity_Praise,3,0.0
Exchange_Request,3,0.0
Product Value_Issue,3,0.0
Company Reputation_Praise,3,0.0
Product Satisfaction_Issue,2,0.0
Product Preference_Others,2,0.0
Product Expectation_Others,2,0.0
Product Value_Others,2,0.0
Product Specification_Praise,2,0.0
Product Efficiency_Praise,2,0.0
Product Use_Praise,2,0.0
Quality Control_Issue,2,0.0
Product Stability_Issue,2,0.0
Product Configuration_Issue,2,0.0
Product_Concern,2,0.0
Product Suitability_Issue,2,0.0
Product Presentation_Issue,2,0.0
Product Weight_Others,2,0.0
Product Tampering_Issue,2,0.0
Product Recognition_Issue,2,0.0
Product Quality_Praise_Delivery_Issue,2,0.0
Product_Praise_Service_Praise,2,0.0
Product Dissatisfaction_Issue,2,0.0
Product_Damage_Issue,2,0.0
Product Functionality_Others,2,0.0
Purchase_Process_Praise,2,0.0
Punctuality_Praise,2,0.0
Product Improvement_Others,2,0.0
Product_Taste_Issue,2,0.0
Product Inaccuracy_Issue,2,0.0
Product Feedback_Others,2,0.0
Product Appearance_Issue,2,0.0
Product Incorrect_Issue,2,0.0
Product Setup_Issue,2,0.0
Product Variation_Praise,2,0.0
Product Design_Others,2,0.0
Punctuality_Issue,2,0.0
Product and Delivery_Praise,2,0.0
