category,count,percentage
Delivery_Issue,3805,0.44
Product Mismatch_Issue,932,0.11
Product Quality_Issue,584,0.07
Customer Service_Issue,260,0.03
Order_Issue,170,0.02
Product Damage_Issue,158,0.02
Product_Issue,150,0.02
Packaging_Issue,148,0.02
Product Defect_Issue,140,0.02
Order Fulfillment_Issue,137,0.02
Product Size_Issue,104,0.01
Product Condition_Issue,92,0.01
Quality_Issue,91,0.01
Product Authenticity_Issue,72,0.01
Shipping_Issue,68,0.01
Refund_Issue,54,0.01
Order Incomplete_Issue,52,0.01
Order Cancellation_Issue,50,0.01
Product Missing_Issue,50,0.01
Shipping Cost_Issue,48,0.01
Product Performance_Issue,46,0.01
Invoice_Issue,42,0.0
Product Compatibility_Issue,30,0.0
Communication_Issue,29,0.0
Service_Issue,29,0.0
Product Description_Issue,29,0.0
Return_Issue,28,0.0
Product Fit_Issue,28,0.0
Product Color_Issue,26,0.0
Product Incomplete_Issue,26,0.0
Product Functionality_Issue,25,0.0
Product Malfunction_Issue,25,0.0
Product Expectation_Issue,24,0.0
Stock_Issue,24,0.0
Product Specification_Issue,23,0.0
Product Design_Issue,22,0.0
Product Information_Issue,21,0.0
Product_Mismatch_Issue,20,0.0
Delivery_Delay_Issue,18,0.0
Cancellation_Issue,18,0.0
Delivery_Time_Issue,17,0.0
Size_Issue,17,0.0
Assembly_Issue,17,0.0
Order Mismatch_Issue,17,0.0
Product_Quality_Issue,17,0.0
Pricing_Issue,16,0.0
Material_Issue,16,0.0
Performance_Issue,15,0.0
Exchange_Issue,15,0.0
Missing Item_Issue,14,0.0
Order Processing_Issue,13,0.0
Tracking_Issue,13,0.0
Order Inaccuracy_Issue,11,0.0
Shipping_Cost_Issue,11,0.0
Product Counterfeit_Issue,11,0.0
Product Availability_Issue,11,0.0
Functionality_Issue,10,0.0
Payment_Issue,9,0.0
Shipping Fee_Issue,9,0.0
Product Exchange_Issue,9,0.0
Product Completeness_Issue,8,0.0
Store_Issue,8,0.0
Order_Issue_Issue,8,0.0
Delivery_Issue_Issue,8,0.0
Material Quality_Issue,8,0.0
