category,count,percentage
Delivery_Praise,4869,0.46
Product Quality_Praise,1533,0.14
Product_Praise,1181,0.11
Service_Praise,324,0.03
Product Satisfaction_Praise,310,0.03
Quality_Praise,291,0.03
Customer Service_Praise,278,0.03
Praise,134,0.01
Product Recommendation_Praise,95,0.01
Satisfaction_Praise,94,0.01
Product Performance_Praise,87,0.01
Store_Praise,82,0.01
Performance_Praise,79,0.01
Recommendation_Praise,72,0.01
Overall Satisfaction_Praise,52,0.0
Packaging_Praise,51,0.0
Shopping Experience_Praise,49,0.0
Seller_Praise,45,0.0
Value_Praise,44,0.0
Store Recommendation_Praise,39,0.0
Delivery_Praise_Product Quality_Praise,39,0.0
Product_Praise_Delivery_Praise,37,0.0
Customer Loyalty_Praise,36,0.0
Product Condition_Praise,36,0.0
Product Quality_Praise_Delivery_Praise,34,0.0
Purchase Experience_Praise,31,0.0
Product Accuracy_Praise,30,0.0
Purchase_Praise,30,0.0
Product Delivery_Praise,24,0.0
Overall Experience_Praise,24,0.0
Customer Satisfaction_Praise,23,0.0
Product Match_Praise,21,0.0
Customer Experience_Praise,20,0.0
Trust_Praise,18,0.0
Delivery_Praise_Product_Praise,18,0.0
Purchase Satisfaction_Praise,15,0.0
Product Value_Praise,13,0.0
Price_Praise,12,0.0
Product Appearance_Praise,11,0.0
Service Quality_Praise,11,0.0
Cost-Benefit_Praise,11,0.0
Value for Money_Praise,10,0.0
Product Fit_Praise,10,0.0
Store Experience_Praise,9,0.0
Product Expectation_Praise,8,0.0
Efficiency_Praise,8,0.0
Purchase Process_Praise,8,0.0
Overall_Praise,8,0.0
Store Reputation_Praise,8,0.0
Trustworthiness_Praise,8,0.0
Product Description_Praise,8,0.0
Product Design_Praise,7,0.0
Website_Praise,7,0.0
Product_Quality_Praise,7,0.0
Loyalty_Praise,7,0.0
Reliability_Praise,7,0.0
Shipping_Praise,7,0.0
Store Quality_Praise,7,0.0
Store Reliability_Praise,7,0.0
Supplier_Praise,7,0.0
Purchase_Satisfaction_Praise,6,0.0
Pricing_Praise,6,0.0
Company_Praise,6,0.0
Transaction_Praise,6,0.0
Order Fulfillment_Praise,6,0.0
Product Effectiveness_Praise,5,0.0
Store Rating_Praise,5,0.0
Product Functionality_Praise,5,0.0
Expectation Met_Praise,5,0.0
Material_Praise,4,0.0
Product_Match_Praise,4,0.0
Condition_Praise,4,0.0
Product Feature_Praise,4,0.0
Brand Loyalty_Praise,4,0.0
Seller Recommendation_Praise,4,0.0
Seller Service_Praise,4,0.0
Usability_Praise,4,0.0
General_Praise,3,0.0
Expectation_Met_Praise,3,0.0
Product Comfort_Praise,3,0.0
Product Authenticity_Praise,3,0.0
Company Reputation_Praise,3,0.0
Product Aesthetics_Praise,3,0.0
Product Aesthetic_Praise,3,0.0
Customer Trust_Praise,3,0.0
Product and Service_Praise,3,0.0
Product Utility_Praise,3,0.0
Service Efficiency_Praise,3,0.0
Agreement_Praise,3,0.0
Delivery_Praise_Quality_Praise,3,0.0
Order Process_Praise,3,0.0
Product Usability_Praise,2,0.0
Delivery_Praise_Product Satisfaction_Praise,2,0.0
Product Use_Praise,2,0.0
Service_Praise_Delivery_Praise,2,0.0
Customer Service_Praise_Delivery_Praise,2,0.0
